row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2016VND,1/1/2016VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Bên liên quan > Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,45.484.355.346,43.599.380.217,45484355346.0,43599380217.0
Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,,
Nhà thầu Dongfang,Các bên thứ ba > Nhà thầu Dongfang,Nhà thầu Dongfang,5.226.339.540,195.469.876.359,5226339540.0,195469876359.0
Nhà thầu Marubeni,Các bên thứ ba > Nhà thầu Marubeni,Nhà thầu Marubeni,15.451.814.828,-,15451814828.0,
Các nhà thầu khác,Các bên thứ ba > Các nhà thầu khác,Các nhà thầu khác,5.486.102.707,32.240.028.238,5486102707.0,32240028238.0
Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Các bên thứ ba > Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,314.030.413.181,166.342.508.337,314030413181.0,166342508337.0
Tổng Công ty Đông Bắc,Các bên thứ ba > Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,121.274.253.628,89.597.510.276,121274253628.0,89597510276.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Các bên thứ ba > Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,11.413.464.171,-,11413464171.0,
Viện nghiên cứu cơ khí,Các bên thứ ba > Viện nghiên cứu cơ khí,Viện nghiên cứu cơ khí,11.834.393.382,-,11834393382.0,
Công ty Cổ phần Việt Long,Các bên thứ ba > Công ty Cổ phần Việt Long,Công ty Cổ phần Việt Long,10.850.238.503,-,10850238503.0,
Các nhà cung cấp khác,Các bên thứ ba > Các nhà cung cấp khác,Các nhà cung cấp khác,73.517.851.392,66.032.872.762,73517851392.0,66032872762.0
,,,614.569.226.678,593.282.176.189,614569226678.0,593282176189.0
