row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
,,,2016VND,2015VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Chi phí lãi vay và phí cam kết của khoản vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay và phí cam kết của khoản vay,Chi phí lãi vay và phí cam kết của khoản vay,615.194.969.542,665.160.018.371,615194969542.0,665160018371.0
Phí bảo lãnh khoản vay dài hạn,Tập đoàn Điện lực Việt Nam > Phí bảo lãnh khoản vay dài hạn,Phí bảo lãnh khoản vay dài hạn,39.636.438.862,41.810.288.852,39636438862.0,41810288852.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 2,Tổng Công ty Phát điện 2,Tổng Công ty Phát điện 2,Tổng Công ty Phát điện 2,Tổng Công ty Phát điện 2,,
Cổ tức đã trả,Tổng Công ty Phát điện 2 > Cổ tức đã trả,Cổ tức đã trả,178.500.000.000,153.000.000.000,178500000000.0,153000000000.0
Cổ tức phải trả,Tổng Công ty Phát điện 2 > Cổ tức phải trả,Cổ tức phải trả,51.000.000.000,-,51000000000.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,,
Cổ tức đã trả,Công ty Cổ phần Nhiệt điện Phả Lại > Cổ tức đã trả,Cổ tức đã trả,90.895.000.000,77.910.000.000,90895000000.0,77910000000.0
Cổ tức phải trả,Công ty Cổ phần Nhiệt điện Phả Lại > Cổ tức phải trả,Cổ tức phải trả,25.970.000.000,-,25970000000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,Công ty Mua bán điện,,
Doanh thu bán điện,Công ty Mua bán điện > Doanh thu bán điện,Doanh thu bán điện,9.149.873.903.332,9.110.955.661.453,9149873903332.0,9110955661453.0
Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,,
Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,,
Tiền lương và thường,Thành viên Ban Giám đốc > Tiền lương và thường,Tiền lương và thường,1.638.300.000,1.861.884.000,1638300000.0,1861884000.0
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,
Tiền lương và thường,Thành viên Hội đồng quản trị > Tiền lương và thường,Tiền lương và thường,1.065.600.000,1.065.600.000,1065600000.0,1065600000.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,
Tiền lương và thường,Thành viên Ban Kiểm soát > Tiền lương và thường,Tiền lương và thường,443.184.000,186.000.000,443184000.0,186000000.0
