row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2016VND > 15.427.144.171,Số phải nộp trong năm VND > 915.451.230.535,Số đã nộp trong năm VND > (359.715.053.219),Số đã được cán trừ trong năm VND > (571.163.321.487),31/12/2016VND > -,numeric__1/1/2016VND > 15.427.144.171,numeric__Số phải nộp trong năm VND > 915.451.230.535,numeric__Số đã nộp trong năm VND > (359.715.053.219),numeric__Số đã được cán trừ trong năm VND > (571.163.321.487),numeric__31/12/2016VND > -
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,-,3.913.196.324,(3.913.196.324),-,-,,3913196324.0,-3913196324.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,15.550.287.149,(10.819.100.000),(31.187.149),4.700.000.000,,15550287149.0,-10819100000.0,-31187149.0,4700000000.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,26.390.778.804,(26.390.778.804),-,-,,26390778804.0,-26390778804.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,4.466.515.297,(4.464.915.314),-,1.599.983,,4466515297.0,-4464915314.0,,1599983.0
,,,15.427.144.171,965.772.008.109,(405.303.043.661),(571.194.508.636),4.701.599.983,15427144171.0,965772008109.0,-405303043661.0,-571194508636.0,4701599983.0
