row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.466.901.706.766,11.021.793.406.708,550.701.881.295,217.438.138.322,1.057.750.248,22.257.892.883.339,10466901706766.0,11021793406708.0,550701881295.0,217438138322.0,1057750248.0,22257892883339.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.723.280.946,1.727.590.546,1.651.277.272,3.463.349.050,-,11.565.497.814,4723280946.0,1727590546.0,1651277272.0,3463349050.0,,11565497814.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.379.022.518,2.001.137.358,-,-,-,3.380.159.876,1379022518.0,2001137358.0,,,,3380159876.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(86.130.266.364),(42.057.283.084),-,(2.678.822.333),-,(130.866.371.781),-86130266364.0,-42057283084.0,,-2678822333.0,,-130866371781.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(445.616.363),-,-,(445.616.363),,,-445616363.0,,,-445616363.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.386.873.743.866,10.983.464.851.528,551.907.542.204,218.222.665.039,1.057.750.248,22.141.526.552.885,10386873743866.0,10983464851528.0,551907542204.0,218222665039.0,1057750248.0,22141526552885.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.646.414.801.319,3.159.487.656.001,192.789.365.913,105.613.701.302,225.065.737,6.104.530.590.272,2646414801319.0,3159487656001.0,192789365913.0,105613701302.0,225065737.0,6104530590272.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,751.321.933.551,1.080.224.429.218,42.890.015.028,23.040.728.167,105.775.020,1.897.582.880.984,751321933551.0,1080224429218.0,42890015028.0,23040728167.0,105775020.0,1897582880984.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(445.616.363),-,-,(445.616.363),,,-445616363.0,,,-445616363.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.397.736.734.870,4.239.712.085.219,235.233.764.578,128.654.429.469,330.840.757,8.001.667.854.893,3397736734870.0,4239712085219.0,235233764578.0,128654429469.0,330840757.0,8001667854893.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,7.820.486.905.447,7.862.305.750.707,357.912.515.382,111.824.437.020,832.684.511,16.153.362.293.067,7820486905447.0,7862305750707.0,357912515382.0,111824437020.0,832684511.0,16153362293067.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.989.137.008.996,6.743.752.766.309,316.673.777.626,89.568.235.570,726.909.491,14.139.858.697.992,6989137008996.0,6743752766309.0,316673777626.0,89568235570.0,726909491.0,14139858697992.0
