row_label_raw,row_label_full,col_0,col_1,2017 triệu đồng,2016 (trình bày lại) triệu đồng,numeric__col_1,numeric__2017 triệu đồng,numeric__2016 (trình bày lại) triệu đồng
I.,I.,I.,"Tổng số cán bộ, công nhân viên (người) (*)",22.472,21.833,,22472.0,21833.0
II.,II.,II.,Thu nhập của nhân viên (Triệu đồng),,,,,
II.,II. > II.,II.,1. Tổng quỹ lương,6.699.493,5.632.263,,6699493.0,5632263.0
II.,II. > II.,II.,2. Thu nhập khác,174.642,160.912,,174642.0,160912.0
II.,II. > II.,II.,3. Tổng thu nhập (1+2),6.874.135,5.793.175,,6874135.0,5793175.0
II.,II. > II.,II.,4. Tiền lương bình quân tháng (**),"25,04","22,61",,25.04,22.61
II.,II. > II.,II.,5. Thu nhập bình quân tháng (**),"25,69","23,25",,25.69,23.25
