row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017triệu đồng,%,Ngày 31 tháng 12năm 2016triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2016triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,30.621.511,"3,91",36.108.048,"5,50",30621511.0,3.91,36108048.0,5.5
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,51.776.421,"6,61",58.751.773,"8,96",51776421.0,6.61,58751773.0,8.96
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,7.321.453,"0,93",5.578.225,"0,85",7321453.0,0.93,5578225.0,0.85
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,167.452.303,"21,39",131.243.568,"20,01",167452303.0,21.39,131243568.0,20.01
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,39.643.437,"5,06",40.463.733,"6,17",39643437.0,5.06,40463733.0,6.17
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,227.257.671,"29,03",174.395.187,"26,58",227257671.0,29.03,174395187.0,26.58
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,67.494,"0,01",31.921,"0,00",67494.0,0.01,31921.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,14.215.666,"1,81",17.601.254,"2,68",14215666.0,1.81,17601254.0,2.68
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,44.511.316,"5,69",35.553.231,"5,42",44511316.0,5.69,35553231.0,5.42
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.317.511,"0,17",1.074.702,"0,16",1317511.0,0.17,1074702.0,0.16
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",195.050.171,"24,92",151.885.457,"23,16",195050171.0,24.92,151885457.0,23.16
"Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",2.792.703,"0,36",3.352.078,"0,51",2792703.0,0.36,3352078.0,0.51
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,827.022,"0,11",13.771,"0,00",827022.0,0.11,13771.0,0.0
,,,782.854.679,100,656.052.948,100,782854679.0,100.0,656052948.0,100.0
