row_label_raw,row_label_full,col_0,Thuyết minh,2017 triệu đồng,2016 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__2017 triệu đồng,numeric__2016 (trình bày lại) triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,25,64.574.451,52.231.440,25.0,64574451.0,52231440.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,26,(38.123.503),(30.554.240),26.0,-38123503.0,-30554240.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,26.450.948,21.677.200,,26450948.0,21677200.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,3.180.961,2.520.370,,3180961.0,2520370.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(1.632.472),(1.067.076),,-1632472.0,-1067076.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,1.548.489,1.453.294,27.0,1548489.0,1453294.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,687.427,664.194,28.0,687427.0,664194.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,29,284.757,162.122,29.0,284757.0,162122.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,30,(86.519),43.451,30.0,-86519.0,43451.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,3.044.381,2.376.760,,3044381.0,2376760.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(1.017.030),(1.160.290),,-1017030.0,-1160290.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,31,2.027.351,1.216.470,31.0,2027351.0,1216470.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",32,421.265,326.620,32.0,421265.0,326620.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,33,(14.703.589),(12.394.434),33.0,-14703589.0,-12394434.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,16.630.129,13.148.917,,16630129.0,13148917.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(8.279.824),(4.951.486),,-8279824.0,-4951486.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,8.350.305,8.197.431,,8350305.0,8197431.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,23.1,(1.632.783),(1.600.146),231.0,-1632783.0,-1600146.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,(1.632.783),(1.600.146),,-1632783.0,-1600146.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,6.717.522,6.597.285,,6717522.0,6597285.0
