row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.896.090,-,-,-,-,-,-,-,-,5.896.090,5896090.0,,,,,,,,,5896090.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,20.752.988,-,-,-,-,-,20.752.988,,,,20752988.0,,,,,,20752988.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,-,102.637.512,3.787.397,1.569.700,646.000,-,-,108.640.609,,,,102637512.0,3787397.0,1569700.0,646000.0,,,108640609.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,2.907.488,-,-,-,-,-,2.907.488,,,,2907488.0,,,,,,2907488.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,528.762,-,-,-,-,-,528.762,,,,528762.0,,,,,,528762.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,8.976.822,3.594.606,278.740.086,230.481.397,194.367.374,49.806.461,15.642.991,1.244.942,782.854.679,,8976822.0,3594606.0,278740086.0,230481397.0,194367374.0,49806461.0,15642991.0,1244942.0,782854679.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),2.870.546,480.850,-,12.750.000,28.121.507,6.512.000,9.658.000,40.869.163,27.836.226,129.098.292,2870546.0,480850.0,,12750000.0,28121507.0,6512000.0,9658000.0,40869163.0,27836226.0,129098292.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",6.449.775,-,-,-,-,-,-,-,-,6.449.775,6449775.0,,,,,,,,,6449775.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,11.080.736,-,-,-,-,-,-,-,-,11.080.736,11080736.0,,,,,,,,,11080736.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),30.441.911,158,-,-,-,-,-,-,-,30.442.069,30441911.0,158.0,,,,,,,,30442069.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,56.739.058,9.457.830,3.594.606,418.316.836,262.390.301,202.449.074,60.110.461,56.512.154,29.081.168,1.098.651.488,56739058.0,9457830.0,3594606.0,418316836.0,262390301.0,202449074.0,60110461.0,56512154.0,29081168.0,1098651488.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
