row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.896.090,-,-,-,-,5.896.090,5.896.090,5896090.0,,,,,5896090.0,5896090.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,20.752.988,-,-,-,-,20.752.988,20.752.988,20752988.0,,,,,20752988.0,20752988.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,108.640.609,-,-,108.640.609,(*),,,108640609.0,,,108640609.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.907.488,-,-,-,-,2.907.488,(*),2907488.0,,,,,2907488.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,528.762,-,-,-,-,528.762,(*),528762.0,,,,,528762.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,782.854.679,-,-,782.854.679,(*),,,782854679.0,,,782854679.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,124.039.900,-,124.039.900,(*),,,,124039900.0,,124039900.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,5.058.392,-,-,-,5.058.392,(*),,5058392.0,,,,5058392.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,170.955,-,170.955,(*),,,,170955.0,,170955.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,30.442.069,-,-,30.442.069,(*),,,30442069.0,,,30442069.0,
,,,30.085.328,5.058.392,921.937.357,124.210.855,-,1.081.291.932,(*),30085328.0,5058392.0,921937357.0,124210855.0,,1081291932.0,
Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,-,-,-,-,15.206.899,15.206.899,,,,,,15206899.0,15206899.0,
Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,-,-,112.055.714,112.055.714,(*),,,,,112055714.0,112055714.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,752.569.535,752.569.535,(*),,,,,752569535.0,752569535.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,6.364.158,6.364.158,(*),,,,,6364158.0,6364158.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,22.501.773,22.501.773,(*),,,,,22501773.0,22501773.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,117.456.279,117.456.279,(*),,,,,117456279.0,117456279.0,
,,,-,-,-,-,1.026.154.358,1.026.154.358,(*),,,,,1026154358.0,1026154358.0,
