row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017 triệu đồng,Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017 triệu đồng,numeric__Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,5.896.090,5.133.718,5.0,5896090.0,5133718.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,20.752.988,13.501.629,6.0,20752988.0,13501629.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,108.640.609,94.761.531,7.0,108640609.0,94761531.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,102.159.206,90.728.678,,102159206.0,90728678.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,6.481.403,4.032.853,,6481403.0,4032853.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,,-,-,,,
Chứng khoán kinh doanh,Dự phòng rủi ro > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,2.907.488,1.502.806,8.0,2907488.0,1502806.0
Chứng khoán kinh doanh,Dự phòng rủi ro > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,2.907.488,1.502.806,,2907488.0,1502806.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Dự phòng rủi ro chứng khoán kinh doanh > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,528.762,682.690,9.0,528762.0,682690.0
Cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,,774.766.818,649.305.263,,774766818.0,649305263.0
Cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,10,782.854.679,656.052.948,10.0,782854679.0,656052948.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(8.087.861),(6.747.685),11.0,-8087861.0,-6747685.0
Chứng khoán đầu tư,Dự phòng rủi ro chứng khoán kinh doanh > Chứng khoán đầu tư,Chứng khoán đầu tư,12,126.609.580,133.020.649,12.0,126609580.0,133020649.0
Chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán kinh doanh > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,124.039.900,124.360.155,121.0,124039900.0,124360155.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán kinh doanh > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,5.058.392,11.743.021,122.0,5058392.0,11743021.0
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán kinh doanh > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(2.488.712),(3.082.527),124.0,-2488712.0,-3082527.0
"Góp vốn, đầu tư dài hạn","Dự phòng rủi ro chứng khoán kinh doanh > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,6.448.019,6.858.051,13.0,6448019.0,6858051.0
Đầu tư vào công ty con,Dự phòng rủi ro chứng khoán kinh doanh > Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,4.590.032,4.600.882,131.0,4590032.0,4600882.0
Vốn góp liên doanh,Dự phòng rủi ro chứng khoán kinh doanh > Vốn góp liên doanh,Vốn góp liên doanh,13.2,1.688.788,2.088.788,132.0,1688788.0,2088788.0
Đầu tư dài hạn khác,Dự phòng rủi ro chứng khoán kinh doanh > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,170.955,170.955,,170955.0,170955.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng rủi ro chứng khoán kinh doanh > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(1.756),(2.574),,-1756.0,-2574.0
Tài sản cố định,Dự phòng rủi ro chứng khoán kinh doanh > Tài sản cố định,Tài sản cố định,,11.080.736,10.297.083,,11080736.0,10297083.0
Tài sản cố định hữu hình,Dự phòng rủi ro chứng khoán kinh doanh > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.299.839,6.356.626,14.0,6299839.0,6356626.0
Nguyên giá tài sản cố định,Dự phòng rủi ro chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,13.124.443,12.388.691,,13124443.0,12388691.0
Khẩu hao tài sản cố định,Dự phòng rủi ro chứng khoán kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(6.824.604),(6.032.065),,-6824604.0,-6032065.0
Tài sản cố định vô hình,Dự phòng rủi ro chứng khoán kinh doanh > Tài sản cố định vô hình,Tài sản cố định vô hình,15,4.780.897,3.940.457,15.0,4780897.0,3940457.0
Nguyên giá tài sản cố định,Dự phòng rủi ro chứng khoán kinh doanh > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,6.028.528,4.863.980,,6028528.0,4863980.0
Hao mòn tài sản cố định,Dự phòng rủi ro chứng khoán kinh doanh > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.247.631),(923.523),,-1247631.0,-923523.0
Tài sản Có khác,Dự phòng rủi ro chứng khoán kinh doanh > Tài sản Có khác,Tài sản Có khác,16,30.441.911,29.300.665,16.0,30441911.0,29300665.0
Các khoản phải thu,Dự phòng rủi ro chứng khoán kinh doanh > Các khoản phải thu,Các khoản phải thu,16.1,12.927.855,12.382.544,161.0,12927855.0,12382544.0
"Các khoản lãi, phí phải thu","Dự phòng rủi ro chứng khoán kinh doanh > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,14.435.343,14.012.833,,14435343.0,14012833.0
Tài sản Có khác,Dự phòng rủi ro chứng khoán kinh doanh > Tài sản Có khác,Tài sản Có khác,16.2,3.078.871,2.905.446,162.0,3078871.0,2905446.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro chứng khoán kinh doanh > Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(158),(158),,-158.0,-158.0
TỔNG TÀI SẢN CÓ,Dự phòng rủi ro chứng khoán kinh doanh > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,1.088.073.001,944.364.085,,1088073001.0,944364085.0
