row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),6.684.240,4.375.709,1.119.363,209.379,12.388.691,6684240.0,4375709.0,1119363.0,209379.0,12388691.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,122.202,48.664,21.842,192.708,,122202.0,48664.0,21842.0,192708.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,263.363,4.101,3.409,3.721,274.594,263363.0,4101.0,3409.0,3721.0,274594.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,751,462,(1.213),-,,751.0,462.0,-1213.0,
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,97.735,210.649,7.825,20.585,336.794,97735.0,210649.0,7825.0,20585.0,336794.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.790),(19.600),(11.407),(1.394),(38.191),-5790.0,-19600.0,-11407.0,-1394.0,-38191.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(29.681),-,(345),(127),(30.153),-29681.0,,-345.0,-127.0,-30153.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.009.867,4.693.812,1.167.971,252.793,13.124.443,7009867.0,4693812.0,1167971.0,252793.0,13124443.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),1.434.742,3.726.493,747.709,123.121,6.032.065,1434742.0,3726493.0,747709.0,123121.0,6032065.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,287.144,377.688,110.270,42.623,817.725,287144.0,377688.0,110270.0,42623.0,817725.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,148,461,(609),-,,148.0,461.0,-609.0,
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,4.027,3.324,2.083,500,9.934,4027.0,3324.0,2083.0,500.0,9934.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.709),(18.887),(10.628),(1.380),(33.604),-2709.0,-18887.0,-10628.0,-1380.0,-33604.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(843),(32),(135),(506),(1.516),-843.0,-32.0,-135.0,-506.0,-1516.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.722.361,4.088.734,849.760,163.749,6.824.604,1722361.0,4088734.0,849760.0,163749.0,6824604.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),5.249.498,649.216,371.654,86.258,6.356.626,5249498.0,649216.0,371654.0,86258.0,6356626.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.287.506,605.078,318.211,89.044,6.299.839,5287506.0,605078.0,318211.0,89044.0,6299839.0
