row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017triệu đồng,Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",100.178.627,95.217.477,100178627.0,95217477.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,306.586,246.723,306586.0,246723.0
Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,85.636,147.588,85636.0,147588.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,907.267,681.340,907267.0,681340.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,160.677,105.549,160677.0,105549.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,86.654,85.290,86654.0,85290.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,6.526,6.000,6526.0,6000.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,36.661,133.155,36661.0,133155.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,-,2.606.383,,2606383.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,150.055,457.772,150055.0,457772.0
,,,101.918.689,99.687.277,101918689.0,99687277.0
