row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,5.896.090,-,-,-,-,5.896.090,,,5896090.0,,,,,5896090.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,20.752.988,-,-,-,-,20.752.988,,,20752988.0,,,,,20752988.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,102.637.512,3.787.397,2.215.700,-,-,108.640.609,,,102637512.0,3787397.0,2215700.0,,,108640609.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,2.907.488,-,-,-,-,2.907.488,,,2907488.0,,,,,2907488.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,528.762,-,-,-,-,528.762,,,528762.0,,,,,528762.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.976.822,3.594.606,59.391.440,158.899.521,262.164.947,113.026.603,176.800.740,782.854.679,8976822.0,3594606.0,59391440.0,158899521.0,262164947.0,113026603.0,176800740.0,782854679.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),480.850,-,8.004.142,900.000,15.851.059,70.946.963,32.915.278,129.098.292,480850.0,,8004142.0,900000.0,15851059.0,70946963.0,32915278.0,129098292.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,6.449.775,6.449.775,,,,,,,6449775.0,6449775.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,11.080.736,11.080.736,,,,,,,11080736.0,11080736.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),158,-,-,-,-,-,30.441.911,30.442.069,158.0,,,,,,30441911.0,30442069.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,9.457.830,3.594.606,200.118.422,163.586.918,280.231.706,183.973.566,257.688.440,1.098.651.488,9457830.0,3594606.0,200118422.0,163586918.0,280231706.0,183973566.0,257688440.0,1098651488.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,8.266.800,4.076.260,2.863.839,-,-,15.206.899,,,8266800.0,4076260.0,2863839.0,,,15206899.0
