row_label_raw,row_label_full,Chỉ tiêu,Năm 2016Trình bày lại(Sau điều chỉnh của KTNN),Năm 2016Số đã công bố(Sau kiểm toán của kiểm toán độc lập),Điều chỉnh,numeric__Năm 2016Trình bày lại(Sau điều chỉnh của KTNN),numeric__Năm 2016Số đã công bố(Sau kiểm toán của kiểm toán độc lập),numeric__Điều chỉnh
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,649.305.263,649.341.768,(36.505),649305263.0,649341768.0,-36505.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(6.747.685),(6.711.180),(36.505),-6747685.0,-6711180.0,-36505.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,10.297.083,10.288.826,8.257,10297083.0,10288826.0,8257.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.356.626,6.356.709,(83),6356626.0,6356709.0,-83.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,12.388.691,12.388.443,248,12388691.0,12388443.0,248.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(6.032.065),(6.031.734),(331),-6032065.0,-6031734.0,-331.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,3.940.457,3.932.117,8.340,3940457.0,3932117.0,8340.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,4.863.980,4.861.209,2.771,4863980.0,4861209.0,2771.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(923.523),(929.092),5.569,-923523.0,-929092.0,5569.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,29.300.665,29.403.935,(103.270),29300665.0,29403935.0,-103270.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,12.382.544,12.382.036,508,12382544.0,12382036.0,508.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",14.012.833,14.113.946,(101.113),14012833.0,14113946.0,-101113.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.905.446,2.908.111,(2.665),2905446.0,2908111.0,-2665.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,944.364.085,944.495.603,(131.518),944364085.0,944495603.0,-131518.0
