row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,37.234.046,8.969.827,1.687.574,3.357.333,3.685.197,54.933.977,37234046.0,8969827.0,1687574.0,3357333.0,3685197.0,54933977.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,6.597.285,6.597.285,,,,,6597285.0,6597285.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,334.497,668.992,(1.003.489),-,,,334497.0,668992.0,-1003489.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(2.745),71.898,69.153,,,,-2745.0,71898.0,69153.0
Trả cổ tức năm 2015,Trả cổ tức năm 2015,Trả cổ tức năm 2015,-,-,-,-,(2.606.383),(2.606.383),,,,,-2606383.0,-2606383.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(2.743),-,(2.743),,,,-2743.0,,-2743.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,37.234.046,8.969.827,2.022.071,4.020.837,6.744.508,58.991.289,37234046.0,8969827.0,2022071.0,4020837.0,6744508.0,58991289.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,6.717.522,6.717.522,,,,,6717522.0,6717522.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,335.876,671.752,(1.007.628),-,,,335876.0,671752.0,-1007628.0,
"Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm",-,-,-,-,(1.412.266),(1.412.266),,,,,-1412266.0,-1412266.0
Trả cổ tức năm 2016,Trả cổ tức năm 2016,Trả cổ tức năm 2016,-,-,-,-,(2.606.383),(2.606.383),,,,,-2606383.0,-2606383.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(623),-,(623),,,,-623.0,,-623.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(17.209),(17.209),,,,,-17209.0,-17209.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,37.234.046,8.969.827,2.357.947,4.691.966,8.418.544,61.672.330,37234046.0,8969827.0,2357947.0,4691966.0,8418544.0,61672330.0
