row_label_raw,row_label_full,col_0,2017triệu đồng,2016(trình bày lại)triệu đồng,numeric__2017triệu đồng,numeric__2016(trình bày lại)triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",32.564,32.958,32564.0,32958.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,8.056.859,6.704.591,8056859.0,6704591.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,6.699.493,5.632.263,6699493.0,5632263.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,412.197,332.268,412197.0,332268.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,32.824,27.114,32824.0,27114.0
Chi khác,Chi khác,Chi khác,912.345,712.946,912345.0,712946.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.611.611,2.102.635,2611611.0,2102635.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,1.141.213,897.562,1141213.0,897562.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.470.398,1.205.073,1470398.0,1205073.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,3.461.493,3.124.763,3461493.0,3124763.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,225.478,198.944,225478.0,198944.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,43.794,25.800,43794.0,25800.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,3.192.221,2.900.019,3192221.0,2900019.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,541.880,431.106,541880.0,431106.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(818),(1.619),-818.0,-1619.0
,,,14.703.589,12.394.434,14703589.0,12394434.0
