row_label_raw,row_label_full,col_0,2017triệu đồng,2016triệu đồng,numeric__2017triệu đồng,numeric__2016triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.044.381,2.376.760,3044381.0,2376760.0
Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,2.654.831,2.051.183,2654831.0,2051183.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,230.709,78.700,230709.0,78700.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",42.833,13.348,42833.0,13348.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,116.008,233.529,116008.0,233529.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(1.017.030),(1.160.290),-1017030.0,-1160290.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(255.300),(290.391),-255300.0,-290391.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(5.259),(8.573),-5259.0,-8573.0
Chi phí khác,Chi phí khác,Chi phí khác,(756.471),(861.326),-756471.0,-861326.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,2.027.351,1.216.470,2027351.0,1216470.0
