row_label_raw,row_label_full,Chỉ tiêu,Năm 2016Trình bày lại(Sau điều chỉnhcủa KTNN),Năm 2016Số đã công bố(Sau kiểm toán củakiềm toán độc lập),Điều chỉnh,numeric__Năm 2016Trình bày lại(Sau điều chỉnhcủa KTNN),numeric__Năm 2016Số đã công bố(Sau kiểm toán củakiềm toán độc lập),numeric__Điều chỉnh
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,52.231.440,52.332.553,(101.113),52231440.0,52332553.0,-101113.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,21.677.200,21.778.313,(101.113),21677200.0,21778313.0,-101113.0
Tổng chi phí hoạt động,Tổng chi phí hoạt động,Tổng chi phí hoạt động,(12.394.434),(12.416.273),21.839,-12394434.0,-12416273.0,21839.0
Lợi nhuận thuần từ hoạt độngkinh doanh trước chỉ phí đụ phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt độngkinh doanh trước chỉ phí đụ phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt độngkinh doanh trước chỉ phí đụ phòng rủi ro tín dụng,13.148.917,13.228.191,(79.274),13148917.0,13228191.0,-79274.0
Chi phí đụ phòng rủi ro tín dụng,Chi phí đụ phòng rủi ro tín dụng,Chi phí đụ phòng rủi ro tín dụng,(4.951.486),(4.914.981),(36.505),-4951486.0,-4914981.0,-36505.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,8.197.431,8.313.210,(115.779),8197431.0,8313210.0,-115779.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.600.146),(1.623.286),23.140,-1600146.0,-1623286.0,23140.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(1.600.146),(1.623.286),23.140,-1600146.0,-1623286.0,23140.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,6.597.285,6.689.924,(92.639),6597285.0,6689924.0,-92639.0
