row_label_raw,row_label_full,Tài sản
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý"
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước
Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*)
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*)
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)"
Tài sản cố định,Tài sản cố định,Tài sản cố định
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*)
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD"
Phát hành GTCG,Phát hành GTCG,Phát hành GTCG
Các khoản nợ khác (*),Các khoản nợ khác (*),Các khoản nợ khác (*)
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng
"Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng"
(*): Không bao gồm dự phòng rủi ro,(*): Không bao gồm dự phòng rủi ro,(*): Không bao gồm dự phòng rủi ro
