row_label_raw,row_label_full,col_0,Quyền sử dụngđấtriệu đồng,TSCĐvô hình kháctriệu đồng,Tổng cộngtriệu đồng,numeric__Quyền sử dụngđấtriệu đồng,numeric__TSCĐvô hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),3.996.211,867.769,4.863.980,3996211.0,867769.0,4863980.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.006,923.466,928.472,5006.0,923466.0,928472.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,227.795,10.955,238.750,227795.0,10955.0,238750.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.764),-,(1.764),-1764.0,,-1764.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(910),-,(910),-910.0,,-910.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.226.338,1.802.190,6.028.528,4226338.0,1802190.0,6028528.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),213.965,709.558,923.523,213965.0,709558.0,923523.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,41.258,282.230,323.488,41258.0,282230.0,323488.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,196,817,1.013,196.0,817.0,1013.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(393),-,(393),-393.0,,-393.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,255.026,992.605,1.247.631,255026.0,992605.0,1247631.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),3.782.246,158.211,3.940.457,3782246.0,158211.0,3940457.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.971.312,809.585,4.780.897,3971312.0,809585.0,4780897.0
