row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,3.887.420.813.235,3.093.009.616.407,100.0,,3887420813235.0,3093009616407.0
I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,110,4,167.814.376.098,150.275.926.525,110.0,4.0,167814376098.0,150275926525.0
1. Tiền,1. Tiền,1. Tiền,111,,103.764.376.098,65.775.926.525,111.0,,103764376098.0,65775926525.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,64.050.000.000,84.500.000.000,112.0,,64050000000.0,84500000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,160.065.000.000,65.000.000,120.0,5.0,160065000000.0,65000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,160.065.000.000,65.000.000,123.0,,160065000000.0,65000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,103.698.291.895,82.241.929.516,130.0,,103698291895.0,82241929516.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,43.171.219.149,34.523.228.986,131.0,6.0,43171219149.0,34523228986.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,32.814.615.983,18.557.867.930,132.0,,32814615983.0,18557867930.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,27.577.078.743,28.092.938.520,136.0,7.0,27577078743.0,28092938520.0
4. Tài sản thiếu chỗ xử lý,4. Tài sản thiếu chỗ xử lý,4. Tài sản thiếu chỗ xử lý,139,8,135.378.020,1.067.894.080,139.0,8.0,135378020.0,1067894080.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,3.383.605.076.098,2.816.746.572.329,140.0,,3383605076098.0,2816746572329.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,9,3.383.605.076.098,2.816.746.572.329,141.0,9.0,3383605076098.0,2816746572329.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,72.238.069.144,43.680.188.037,150.0,,72238069144.0,43680188037.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,10,67.127.740.474,43.042.333.528,151.0,10.0,67127740474.0,43042333528.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,20.455.201,679.179,152.0,,20455201.0,679179.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,11,5.089.873.469,637.175.330,153.0,11.0,5089873469.0,637175330.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,608.883.714.734,498.045.418.497,200.0,,608883714734.0,498045418497.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,41.746.375.257,25.327.846.311,210.0,,41746375257.0,25327846311.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,7,41.746.375.257,25.327.846.311,216.0,7.0,41746375257.0,25327846311.0
