row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
"Lương, thường và các khoản phúc lợi khác","Lương, thường và các khoản phúc lợi khác","Lương, thường và các khoản phúc lợi khác",22.043.447.916,5.908.497.775,22043447916.0,5908497775.0
Số dư chú yếu với các bên liên quan tại ngày kết thúc niên độ kế toán:,Số dư chú yếu với các bên liên quan tại ngày kết thúc niên độ kế toán:,Số dư chú yếu với các bên liên quan tại ngày kết thúc niên độ kế toán:,Số dư chú yếu với các bên liên quan tại ngày kết thúc niên độ kế toán:,Số dư chú yếu với các bên liên quan tại ngày kết thúc niên độ kế toán:,,
,,,Số cuối nămVND,Số đầu nămVND,,
Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,,
Công ty TNHH Một thành viên Thời trang CAO,Các khoản phải thu khách hàng > Công ty TNHH Một thành viên Thời trang CAO,Công ty TNHH Một thành viên Thời trang CAO,3.721.391.377,822.683.491,3721391377.0,822683491.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,
Công ty TNHH Một thành viên Thời trang CAO,Các khoản phải thu khác > Công ty TNHH Một thành viên Thời trang CAO,Công ty TNHH Một thành viên Thời trang CAO,13.759.580.292,20.242.298.200,13759580292.0,20242298200.0
Công ty TNHH Một thành viên Giám định PNJ (phải thu về lợi nhuận được chia),Các khoản phải thu khác > Công ty TNHH Một thành viên Giám định PNJ (phải thu về lợi nhuận được chia),Công ty TNHH Một thành viên Giám định PNJ (phải thu về lợi nhuận được chia),3.000.000.000,-,3000000000.0,
,,,16.759.580.292,20.242.298.200,16759580292.0,20242298200.0
Các khoản phải trả người bán,Các khoản phải trả người bán,Các khoản phải trả người bán,Các khoản phải trả người bán,Các khoản phải trả người bán,,
Công ty TNHH Một thành viên Giám định PNJ,Các khoản phải trả người bán > Công ty TNHH Một thành viên Giám định PNJ,Công ty TNHH Một thành viên Giám định PNJ,732.685.250,639.410.000,732685250.0,639410000.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,,
Công ty TNHH Một thành viên Giám định PNJ,Các khoản phải trả khác > Công ty TNHH Một thành viên Giám định PNJ,Công ty TNHH Một thành viên Giám định PNJ,332.219.180,271.835.620,332219180.0,271835620.0
Vay,Vay,Vay,Vay,Vay,,
Ngân hàng Thương mại Cổ phần Đông Á,Vay > Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,-,26.370.000.000,,26370000000.0
Công ty TNHH Một thành viên Giám định PNJ,Vay > Công ty TNHH Một thành viên Giám định PNJ,Công ty TNHH Một thành viên Giám định PNJ,11.000.000.000,9.000.000.000,11000000000.0,9000000000.0
