row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
VND,VND,VND,VND,VND,VND,VND,VND,,,,,
982.745.770.000,VND > 982.745.770.000,982.745.770.000,-,(7.090.000),219.647.610.783,91.580.748.136,1.293.967.038.919,,-7090000.0,219647610783.0,91580748136.0,1293967038919.0
-,VND > -,-,-,-,-,470.278.995.004,470.278.995.004,,,,470278995004.0,470278995004.0
-,VND > -,-,-,-,-,(245.684.670.000),(245.684.670.000),,,,-245684670000.0,-245684670000.0
-,VND > -,-,-,-,(75.560.053.865),75.560.053.865,-,,,-75560053865.0,75560053865.0,
-,VND > -,-,-,-,-,(15.230.000.000),(15.230.000.000),,,,-15230000000.0,-15230000000.0
-,VND > -,-,-,-,-,(2.000.000.000),(2.000.000.000),,,,-2000000000.0,-2000000000.0
-,VND > -,-,-,-,-,(2.500.000.000),(2.500.000.000),,,,-2500000000.0,-2500000000.0
982.745.770.000,VND > 982.745.770.000,982.745.770.000,-,(7.090.000),144.087.556.918,372.005.127.004,1.498.831.363.922,,-7090000.0,144087556918.0,372005127004.0,1498831363922.0
98.274.570.000,VND > 98.274.570.000,98.274.570.000,876.761.282.458,-,-,-,975.035.852.458,876761282458.0,,,,975035852458.0
-,VND > -,-,-,-,-,723.443.348.942,723.443.348.942,,,,723443348942.0,723443348942.0
-,VND > -,-,-,-,-,(186.720.419.400),(186.720.419.400),,,,-186720419400.0,-186720419400.0
-,VND > -,-,-,-,76.000.000.000,(76.000.000.000),-,,,76000000000.0,-76000000000.0,
-,VND > -,-,-,-,-,(45.000.000.000),(45.000.000.000),,,,-45000000000.0,-45000000000.0
-,VND > -,-,-,-,-,(6.750.000.000),(6.750.000.000),,,,-6750000000.0,-6750000000.0
-,VND > -,-,-,-,-,(12.200.000.000),(12.200.000.000),,,,-12200000000.0,-12200000000.0
1.081.020.340.000,VND > 1.081.020.340.000,1.081.020.340.000,876.761.282.458,(7.090.000),220.087.556.918,768.778.056.546,2.946.640.145.922,876761282458.0,-7090000.0,220087556918.0,768778056546.0,2946640145922.0
