row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết,Giá trị khoản đầu tư,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết,numeric__Giá trị khoản đầu tư,numeric__Hoạt động chính
,,,,%,%,VND,,,,,,
"Ngân hàng Thương mại Cổ phần Đông Á (""DAB"")","Ngân hàng Thương mại Cổ phần Đông Á (""DAB"")","Ngân hàng Thương mại Cổ phần Đông Á (""DAB"")",Thành phố Hồ Chí Minh,"7,69","7,69",395.271.613.400,"Hoạt động kinh doanh liên quan đến hoạt động tài chính, ngân hàng",,7.69,7.69,395271613400.0,
