row_label_raw,row_label_full,col_0,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,43.884.630.000,43.884.630.000,-,(43.884.630.000),-,-,43884630000.0,43884630000.0,,-43884630000.0,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,247.746.000.000,247.746.000.000,881.594.533.653,(971.197.477.449),158.143.056.204,158.143.056.204,247746000000.0,247746000000.0,881594533653.0,-971197477449.0,158143056204.0,158143056204.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,260.503.558.537,260.503.558.537,572.188.410.854,(545.426.794.128),287.265.175.263,287.265.175.263,260503558537.0,260503558537.0,572188410854.0,-545426794128.0,287265175263.0,287265175263.0
Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,66.400.000.000,66.400.000.000,256.000.000.000,(255.400.000.000),67.000.000.000,67.000.000.000,66400000000.0,66400000000.0,256000000000.0,-255400000000.0,67000000000.0,67000000000.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,60.000.000.000,60.000.000.000,180.000.000.000,(180.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,180000000000.0,-180000000000.0,60000000000.0,60000000000.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,4.000.000.000,4.000.000.000,52.503.902.806,(56.503.902.806),-,-,4000000000.0,4000000000.0,52503902806.0,-56503902806.0,,
Ngân hàng TMCP Đầu Tư Phát Tiến Việt Nam,Ngân hàng TMCP Đầu Tư Phát Tiến Việt Nam,Ngân hàng TMCP Đầu Tư Phát Tiến Việt Nam,79.295.679.416,79.295.679.416,209.025.134.526,(245.053.315.947),43.267.497.995,43.267.497.995,79295679416.0,79295679416.0,209025134526.0,-245053315947.0,43267497995.0,43267497995.0
Ngân hàng TMCP Quốc Tế,Ngân hàng TMCP Quốc Tế,Ngân hàng TMCP Quốc Tế,99.079.954.535,99.079.954.535,23.700.000.000,(122.779.954.535),-,-,99079954535.0,99079954535.0,23700000000.0,-122779954535.0,,
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,133.708.080.000,133.708.080.000,243.551.870.000,(377.259.950.000),-,-,133708080000.0,133708080000.0,243551870000.0,-377259950000.0,,
Ngân hàng China Construction,Ngân hàng China Construction,Ngân hàng China Construction,104.187.768.760,104.187.768.760,-,(104.187.768.760),-,-,104187768760.0,104187768760.0,,-104187768760.0,,
Ngân hàng TMCP Bản Việt,Ngân hàng TMCP Bản Việt,Ngân hàng TMCP Bản Việt,59.399.532.596,59.399.532.596,178.094.957.021,(237.494.489.617),-,-,59399532596.0,59399532596.0,178094957021.0,-237494489617.0,,
Ngân hàng TMCP Phương Đông Việt Nam,Ngân hàng TMCP Phương Đông Việt Nam,Ngân hàng TMCP Phương Đông Việt Nam,18.867.373.805,18.867.373.805,11.306.977,(18.878.680.782),-,-,18867373805.0,18867373805.0,11306977.0,-18878680782.0,,
Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,-,-,35.384.906.000,(14.757.838.000),20.627.068.000,20.627.068.000,,,35384906000.0,-14757838000.0,20627068000.0,20627068000.0
Công ty TNHH MTV Giám định PNJ (Thuyết minh số 35),Công ty TNHH MTV Giám định PNJ (Thuyết minh số 35),Công ty TNHH MTV Giám định PNJ (Thuyết minh số 35),9.000.000.000,9.000.000.000,10.000.000.000,(8.000.000.000),11.000.000.000,11.000.000.000,9000000000.0,9000000000.0,10000000000.0,-8000000000.0,11000000000.0,11000000000.0
Các cả nhân,Các cả nhân,Các cả nhân,239.988.367.398,239.988.367.398,425.807.169.724,(459.519.484.384),206.276.052.738,206.276.052.738,239988367398.0,239988367398.0,425807169724.0,-459519484384.0,206276052738.0,206276052738.0
Vay dài hạn đến hạn trả (Thuyết minh số 19),Vay dài hạn đến hạn trả (Thuyết minh số 19),Vay dài hạn đến hạn trả (Thuyết minh số 19),31.894.000.000,31.894.000.000,47.894.000.000,(76.088.000.000),3.700.000.000,3.700.000.000,31894000000.0,31894000000.0,47894000000.0,-76088000000.0,3700000000.0,3700000000.0
,,,1.457.954.945.047,1.457.954.945.047,3.115.756.191.561,(3.716.432.286.408),857.278.850.200,857.278.850.200,1457954945047.0,1457954945047.0,3115756191561.0,-3716432286408.0,857278850200.0,857278850200.0
