row_label_raw,row_label_full,col_0,Quyền sửdung đấtVND,Phần mềmmáy tínhVND,TổngVND,numeric__Quyền sửdung đấtVND,numeric__Phần mềmmáy tínhVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,205.405.507.890,7.938.687.583,213.344.195.473,205405507890.0,7938687583.0,213344195473.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,76.759.346.000,-,76.759.346.000,76759346000.0,,76759346000.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,(2.502.196.600),(860.437.000),(3.362.633.600),-2502196600.0,-860437000.0,-3362633600.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,279.662.657.290,7.078.250.583,286.740.907.873,279662657290.0,7078250583.0,286740907873.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,4.740.653.591,4.740.653.591,,4740653591.0,4740653591.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,1.365.243.192,1.365.243.192,,1365243192.0,1365243192.0
Thanh lý trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý trong năm,Thanh lý trong năm,-,(860.437.000),(860.437.000),,-860437000.0,-860437000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,-,5.245.459.783,5.245.459.783,,5245459783.0,5245459783.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,279.662.657.290,1.832.790.800,281.495.448.090,279662657290.0,1832790800.0,281495448090.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,205.405.507.890,3.198.033.992,208.603.541.882,205405507890.0,3198033992.0,208603541882.0
