row_label_raw,row_label_full,Ông Nguyễn Thành Dư,Trưởng Ban kiểm soát,numeric__Trưởng Ban kiểm soát
Bà Nguyễn Ngọc Huệ,Bà Nguyễn Ngọc Huệ,Bà Nguyễn Ngọc Huệ,Thành viên,
Ông Lê Anh Đức,Ông Lê Anh Đức,Ông Lê Anh Đức,Thành viên (bố nhiệm ngày 27 tháng 4 năm 2017),
Ông Trần Văn Dân,Ông Trần Văn Dân,Ông Trần Văn Dân,Thành viên (miễn nhiệm ngày 27 tháng 4 năm 2017),
