row_label_raw,row_label_full,Bà Cao Thị Ngọc Dung,Chủ tịch,numeric__Chủ tịch
Ông Lê Trí Thông,Ông Lê Trí Thông,Ông Lê Trí Thông,Phó Chủ tịch (bổ nhiệm ngày 03 tháng 5 năm 2017),
Ông Nguyễn Vũ Phan,Ông Nguyễn Vũ Phan,Ông Nguyễn Vũ Phan,Thành viên (bổ nhiệm ngày 03 tháng 5 năm 2017),
Bà Nguyễn Thị Cúc,Bà Nguyễn Thị Cúc,Bà Nguyễn Thị Cúc,Thành viên,
Ông Nguyễn Tuấn Quỳnh,Ông Nguyễn Tuấn Quỳnh,Ông Nguyễn Tuấn Quỳnh,Thành viên (miễn nhiệm ngày 27 tháng 4 năm 2017),
Bà Nguyễn Thị Bích Hà,Bà Nguyễn Thị Bích Hà,Bà Nguyễn Thị Bích Hà,Thành viên (miễn nhiệm ngày 27 tháng 4 năm 2017),
Bà Phạm Vũ Thanh Giang,Bà Phạm Vũ Thanh Giang,Bà Phạm Vũ Thanh Giang,Thành viên,
Ông Lê Hữu Hạnh,Ông Lê Hữu Hạnh,Ông Lê Hữu Hạnh,Thành viên,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên,
Bà Phạm Thị Mỹ Hạnh,Bà Phạm Thị Mỹ Hạnh,Bà Phạm Thị Mỹ Hạnh,Thành viên,
