row_label_raw,row_label_full,col_0,Tại ngày 01/01/2018VND,Tại ngày 01/01/2018VND_1,Trong nămVND,Trong nămVND_1,Tại ngày 31/12/2018VND,Tại ngày 31/12/2018VND_1,numeric__Tại ngày 01/01/2018VND,numeric__Tại ngày 01/01/2018VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Tại ngày 31/12/2018VND,numeric__Tại ngày 31/12/2018VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,29.996.853,-,313.636.125,(283.639.272),-,-,29996853.0,,313636125.0,-283639272.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.347.599.899,-,3.289.955.850,-,2.057.644.049,-,5347599899.0,,3289955850.0,,2057644049.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,918.413.620,3.488.171.589,(3.884.654.373),-,521.930.836,,918413620.0,3488171589.0,-3884654373.0,,521930836.0
Tiền thuê đất khu công nghiệp,Tiền thuê đất khu công nghiệp,Tiền thuê đất khu công nghiệp,9.000.000.000,-,18.235.413.101,(9.235.413.101),-,-,9000000000.0,,18235413101.0,-9235413101.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.117.748,-,3.000.000,(3.000.000),2.117.748,-,2117748.0,,3000000.0,-3000000.0,2117748.0,
Cộng,Cộng,Cộng,14.379.714.500,918.413.620,25.330.176.665,(13.406.706.746),2.059.761.797,521.930.836,14379714500.0,918413620.0,25330176665.0,-13406706746.0,2059761797.0,521930836.0
4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,4.14. Phải trả người lao động,,,,,,
Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,Là khoản quỹ lương còn phải trả cho nhân viên nhưng thực tế chưa chỉ.,,,,,,
4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,4.15. Chi phí phải trả ngắn hạn,,,,,,
,,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,,,,,,,,
,,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,,,,,,,,
Tiền thuê đất KCN Châu Đức còn phải trả theo hợp đồng thuê đất,4.15. Chi phí phải trả ngắn hạn > Tiền thuê đất KCN Châu Đức còn phải trả theo hợp đồng thuê đất,Tiền thuê đất KCN Châu Đức còn phải trả theo hợp đồng thuê đất,Tiền thuê đất KCN Châu Đức còn phải trả theo hợp đồng thuê đất,35.139.427.074,35.139.427.074,,,,,35139427074.0,35139427074.0,,,
Chi phí khác,4.15. Chi phí phải trả ngắn hạn > Chi phí khác,Chi phí khác,Chi phí khác,140.000.000,2.933.164.147,,,,,140000000.0,2933164147.0,,,
Cộng,4.15. Chi phí phải trả ngắn hạn > Cộng,Cộng,Cộng,35.279.427.074,38.072.591.221,,,,,35279427074.0,38072591221.0,,,
