row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,DTV: Ngân đồng,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__DTV: Ngân đồng
,,,Vốn góp của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối và các quỹ,Cộng,,,,,,,
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,3.083.219.737,-,680.838.668,50.818.272,,220.411.790,4.035.288.467,3083219737.0,,680838668.0,50818272.0,,220411790.0,4035288467.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,699.424.930,-,(680.838.668),-,-,(18.586.262),-,699424930.0,,-680838668.0,,,-18586262.0,
Phần vốn Nhà nước còn phải nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Phần vốn Nhà nước còn phải nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Phần vốn Nhà nước còn phải nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,(17.644.667),-,-,-,-,-,(17.644.667),-17644667.0,,,,,,-17644667.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,259.590.322,259.590.322,,,,,,259590322.0,259590322.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,,5.706.000,(5.706.000),-,,,,,5706000.0,-5706000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(13.411.770),(13.411.770),,,,,,-13411770.0,-13411770.0
Tiền thuê đất KCN Biên Hòa 1 từ 2006 đến 31/01/2016 điều chỉnh theo Nghị định 142/2006 (*),Tiền thuê đất KCN Biên Hòa 1 từ 2006 đến 31/01/2016 điều chỉnh theo Nghị định 142/2006 (*),Tiền thuê đất KCN Biên Hòa 1 từ 2006 đến 31/01/2016 điều chỉnh theo Nghị định 142/2006 (*),-,-,-,-,-,(280.223.320),(280.223.320),,,,,,-280223320.0,-280223320.0
Tiền thu từ cổ phần hóa công ty con,Tiền thu từ cổ phần hóa công ty con,Tiền thu từ cổ phần hóa công ty con,-,-,-,12.063.122,-,-,12.063.122,,,,12063122.0,,,12063122.0
Nộp ngân sách Nhà nước,Nộp ngân sách Nhà nước,Nộp ngân sách Nhà nước,-,-,-,(65.388.965),-,(5.313.363),(70.702.328),,,,-65388965.0,,-5313363.0,-70702328.0
Cán trừ tiền thuê đất phải nộp vào lợi nhuận 2015 đã nộp thừa,Cán trừ tiền thuê đất phải nộp vào lợi nhuận 2015 đã nộp thừa,Cán trừ tiền thuê đất phải nộp vào lợi nhuận 2015 đã nộp thừa,-,-,-,-,-,187.704.261,187.704.261,,,,,,187704261.0,187704261.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,2.507.571,-,(299.323),2.208.248,,,,2507571.0,,-299323.0,2208248.0
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,3.765.000.000,-,-,-,5.706.000,344.166.335,4.114.872.335,3765000000.0,,,,5706000.0,344166335.0,4114872335.0
