row_label_raw,row_label_full,col_0,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,numeric__Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND
Phải trả dài hạn khác - Xem thêm mục 4.17:,Phải trả dài hạn khác - Xem thêm mục 4.17:,Phải trả dài hạn khác - Xem thêm mục 4.17:,Phải trả dài hạn khác - Xem thêm mục 4.17:,Phải trả dài hạn khác - Xem thêm mục 4.17:,,
Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Phải trả dài hạn khác - Xem thêm mục 4.17: > Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,11.200.000.000,11.200.000.000,11200000000.0,11200000000.0
Công ty Cổ phần Sonadezi An Bình,Phải trả dài hạn khác - Xem thêm mục 4.17: > Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,22.400.000.000,22.400.000.000,22400000000.0,22400000000.0
Cộng,Phải trả dài hạn khác - Xem thêm mục 4.17: > Cộng,Cộng,33.600.000.000,33.600.000.000,33600000000.0,33600000000.0
"Trong năm, Công ty đã có các giao dịch chủ yếu với các bên liên quan như sau:","Trong năm, Công ty đã có các giao dịch chủ yếu với các bên liên quan như sau:","Trong năm, Công ty đã có các giao dịch chủ yếu với các bên liên quan như sau:","Trong năm, Công ty đã có các giao dịch chủ yếu với các bên liên quan như sau:","Trong năm, Công ty đã có các giao dịch chủ yếu với các bên liên quan như sau:",,
,,,Năm 2018VND,Năm 2017VND,,
Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1:,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1:,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1:,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1:,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1:,,
Công ty Cổ phần Dịch vụ Sonadezi,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1: > Công ty Cổ phần Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi,-,797.152.637,,797152637.0
Công ty Cổ phần Sonadezi Châu Đức,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1: > Công ty Cổ phần Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức,-,409.837.618,,409837618.0
Công ty Cổ phần Sonadezi An Bình,Doanh thu cung cấp dịch vụ - Xem thêm mục 5.1: > Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,403.505.654,549.063.068,403505654.0,549063068.0
