row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm,Năm 2018VND > 12.323.237.710 > 12.185.680.116,Năm 2017VND > 8.675.103.384 > 13.411.770.000,numeric__Năm 2018VND > 12.323.237.710 > 12.185.680.116,numeric__Năm 2017VND > 8.675.103.384 > 13.411.770.000
Tăng khác,Tăng khác,Tăng khác,36.580.000,-,36580000.0,
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(3.892.675.100),(9.763.635.674),-3892675100.0,-9763635674.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,20.652.822.726,12.323.237.710,20652822726.0,12323237710.0
