row_label_raw,row_label_full,Khoản mục,Tại ngày01/01/2018VND,Tăngtrong nằmVND,Giảmtrong nằmVND,Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND,numeric__Tăngtrong nằmVND,numeric__Giảmtrong nằmVND,numeric__Tại ngày31/12/2018VND
Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,Bắt động sản đầu tư cho thuê:,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Hệ thống đường KCN Biên Hòa 1,Nguyên giá: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,93.626.272.860,-,-,93.626.272.860,93626272860.0,,,93626272860.0
Hệ thống thoát nước KCN Biên Hòa 1,Nguyên giá: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.337.749.791,100.320.649,-,14.438.070.440,14337749791.0,100320649.0,,14438070440.0
Hệ thống điện KCN Biên Hòa 1,Nguyên giá: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.424.417.212,102.613.000,-,3.527.030.212,3424417212.0,102613000.0,,3527030212.0
Cộng,Nguyên giá: > Cộng,Cộng,111.388.439.863,202.933.649,-,111.591.373.512,111388439863.0,202933649.0,,111591373512.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,86.873.307.570,2.237.386.209,-,89.110.693.779,86873307570.0,2237386209.0,,89110693779.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.324.392.604,30.077.295,-,14.354.469.899,14324392604.0,30077295.0,,14354469899.0
Hệ thống điện KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.424.417.212,4.886.333,-,3.429.303.545,3424417212.0,4886333.0,,3429303545.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,104.622.117.386,2.272.349.837,-,106.894.467.223,104622117386.0,2272349837.0,,106894467223.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,6.752.965.290,,,4.515.579.081,6752965290.0,,,4515579081.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,13.357.187,,,83.600.541,13357187.0,,,83600541.0
Hệ thống điện KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,,,,97.726.667,,,,97726667.0
Cộng,Giá trị còn lại: > Cộng,Cộng,6.766.322.477,,,4.696.906.289,6766322477.0,,,4696906289.0
