row_label_raw,row_label_full,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ vốn góp,numeric__Tên,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ vốn góp
,,,"Công ty liên doanh, liên kết:","Công ty liên doanh, liên kết:","Công ty liên doanh, liên kết:","Công ty liên doanh, liên kết:",,,,
1.,1.,1.,Công ty Cổ phần Xây dựng Đồng Nai,"9 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình,"40,00%",,,,0.4
2.,2.,2.,Công ty Cổ phần Sơn Đồng Nai,"Đường 7, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Sản xuất kinh doanh sản phẩm về sơn, keo","30,00%",,,,0.3
3.,3.,3.,Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1 - Đồng Nai,"15 Đồng Khởi, P. Tân Tiến, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình và sản xuất gạch ngói,"20,00%",,,,0.2
4.,4.,4.,Công ty Cổ phần Sonadezi Châu Đức,"Tầng 9, Tòa nhà Sonadezi, Số 1, đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư hạ tầng khu công nghiệp, cụm công nghiệp, khu dân cư","46,84%",,,,0.46840000000000004
5.,5.,5.,Công ty Cổ phần Sonadezi An Bình,"Số 113-116 Lô C2, Đường 9, Khu dân cư An Bình, TP. Biên Hoà, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê khu công nghiệp, xây dựng công trình","37,95%",,,,0.3795
6.,6.,6.,Công ty Cổ phần Dịch vụ Sonadezi,"Tầng 8, Tòa nhà Sonadezi, Số 1, đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Xử lý nước thải, chất thải nguy hại và không nguy hại","20,00%",,,,0.2
7.,7.,7.,Công ty Cổ phần Bến xe và Dịch vụ Vận tải Đồng Nai,"Xa lộ Hà Nội, Khu phố 2, P.Bình Đa, TP. Biên Hoà, Tĩnh Đồng Nai","Khai thác bến xe, dịch vụ hành khách","36,00%",,,,0.36
8.,8.,8.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,"Số 1, đường 6A, KCN Biên Hòa 2, TP. Biên Hòa, Tĩnh Đồng Nai",Giáo dục - Đào tạo - Dịch vụ,"40,00%",,,,0.4
9.,9.,9.,Công ty Cổ phần Đầu tư Quốc lộ 91 Cần Thơ - An Giang,"Số 315, đường Võ Nguyên Giáp, Xã Phước Tân, TP. Biên Hoà, Tĩnh Đồng Nai","Xây dựng công trình giao thông, đầu tư xây dựng công trình giao thông (theo phương thức hợp đồng Xây dựng - Kinh doanh - Chuyển giao (BOT))","39,72%",,,,0.3972
