row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018VND > Giá gốc,Tại ngày 31/12/2018VND > Giá trị hợp lý,Tại ngày 31/12/2018VND > Dự phòng,Tại ngày 01/01/2018VND > Giá gốc,Tại ngày 01/01/2018VND > Giá trị hợp lý,Tại ngày 01/01/2018VND > Dự phòng,numeric__Tại ngày 31/12/2018VND > Giá gốc,numeric__Tại ngày 31/12/2018VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2018VND > Dự phòng,numeric__Tại ngày 01/01/2018VND > Giá gốc,numeric__Tại ngày 01/01/2018VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2018VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần Cấp nước Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,657.132.846.787,824.179.608.000,-,657.743.958.900,959.836.500.000,-,657132846787.0,824179608000.0,,657743958900.0,959836500000.0,
Công ty Cổ phần Sonadezi Long Bình,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Bình,Công ty Cổ phần Sonadezi Long Bình,295.444.200.000,(*),-,295.444.200.000,(*),-,295444200000.0,,,295444200000.0,,
Công ty Cổ phần Cằng Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Cằng Đồng Nai,Công ty Cổ phần Cằng Đồng Nai,242.452.980.000,434.526.120.000,-,242.452.980.000,574.959.924.000,,242452980000.0,434526120000.0,,242452980000.0,574959924000.0,
Công ty Cổ phần Sonadezi Long Thành,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Thành,Công ty Cổ phần Sonadezi Long Thành,201.688.600.000,315.330.400.000,-,201.688.600.000,377.782.200.000,-,201688600000.0,315330400000.0,,201688600000.0,377782200000.0,
Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Đầu tư vào công ty con: > Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,424.153.800.000,-,200.655.000.000,395.136.000.000,-,200655000000.0,424153800000.0,,200655000000.0,395136000000.0,
Công ty Cổ phần Môi trường Sonadezi,Đầu tư vào công ty con: > Công ty Cổ phần Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi,197.027.735.730,161.387.906.400,-,197.027.735.730,147.938.914.200,-,197027735730.0,161387906400.0,,197027735730.0,147938914200.0,
Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,135.346.662.000,-,53.838.407.700,72.061.704.000,-,53838407700.0,135346662000.0,,53838407700.0,72061704000.0,
Công ty Cổ phần Kinh doanh nhà Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty Cổ phần Kinh doanh nhà Đồng Nai,45.193.257.083,(*),-,45.503.424.000,(*),-,45193257083.0,,,45503424000.0,,
Công ty Cổ phần Khu công nghiệp Đình Quản,Đầu tư vào công ty con: > Công ty Cổ phần Khu công nghiệp Đình Quản,Công ty Cổ phần Khu công nghiệp Đình Quản,-,(*),-,13.007.143.500,(*),4.181.599.702,,,,13007143500.0,,4181599702.0
Công ty Cổ phần Sonadezi Giang Điền,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,255.000.000.000,(*),-,255.000.000.000,(*),-,255000000000.0,,,255000000000.0,,
Cộng,Đầu tư vào công ty con: > Cộng,Cộng,2.148.433.027.300,,-,2.162.361.449.830,,4.181.599.702,2148433027300.0,,,2162361449830.0,,4181599702.0
