row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm vi tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2018,Nguyên giá: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,13.631.953.886,1.032.200.200,14.664.154.086,13631953886.0,1032200200.0,14664154086.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,380.000.000,380.000.000,,380000000.0,380000000.0
Tại ngày 31/12/2018,Nguyên giá: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,13.631.953.886,1.412.200.200,15.044.154.086,13631953886.0,1412200200.0,15044154086.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2018,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,2.131.289.418,519.605.800,2.650.895.218,2131289418.0,519605800.0,2650895218.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,668.377.348,131.063.668,799.441.016,668377348.0,131063668.0,799441016.0
Tại ngày 31/12/2018,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.799.666.766,650.669.468,3.450.336.234,2799666766.0,650669468.0,3450336234.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2018,Giá trị còn lại: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,11.500.664.468,512.594.400,12.013.258.868,11500664468.0,512594400.0,12013258868.0
Tại ngày 31/12/2018,Giá trị còn lại: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,10.832.287.120,761.530.732,11.593.817.852,10832287120.0,761530732.0,11593817852.0
