row_label_raw,row_label_full,col_0,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,numeric__Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Công ty Great Kingdom International Biên Hòa,Ngắn hạn: > Công ty Great Kingdom International Biên Hòa,Công ty Great Kingdom International Biên Hòa,722.765.700,722.765.700,722765700.0,722765700.0
Khách hàng khác,Ngắn hạn: > Khách hàng khác,Khách hàng khác,256.272.091,256.272.098,256272091.0,256272098.0
Cộng,Ngắn hạn: > Cộng,Cộng,979.037.791,979.037.798,979037791.0,979037798.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Công ty Great Kingdom International Biên Hòa,Dài hạn: > Công ty Great Kingdom International Biên Hòa,Công ty Great Kingdom International Biên Hòa,1.987.605.675,2.710.371.375,1987605675.0,2710371375.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,
,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất KCN Biên Hòa 1 giai đoạn trước cổ phần hóa phải nộp lại cho Ngân sách Nhà nước,Ngắn hạn: > Tiền thuê đất KCN Biên Hòa 1 giai đoạn trước cổ phần hóa phải nộp lại cho Ngân sách Nhà nước,Tiền thuê đất KCN Biên Hòa 1 giai đoạn trước cổ phần hóa phải nộp lại cho Ngân sách Nhà nước,132.662.794,9.751.100.296,132662794.0,9751100296.0
"Thủ lao của người đại diện phần vốn góp, Hội đồng quản trị và Ban kiểm soát","Ngắn hạn: > Thủ lao của người đại diện phần vốn góp, Hội đồng quản trị và Ban kiểm soát","Thủ lao của người đại diện phần vốn góp, Hội đồng quản trị và Ban kiểm soát",2.095.452.492,1.244.400.659,2095452492.0,1244400659.0
Cổ tức phải trả,Ngắn hạn: > Cổ tức phải trả,Cổ tức phải trả,90.912.000,-,90912000.0,
"Nhận ký quỹ, ký cược","Ngắn hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",-,40.320.000,,40320000.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",635.258.000,33.846.600,635258000.0,33846600.0
Cộng,Ngắn hạn: > Cộng,Cộng,2.954.285.286,11.069.667.555,2954285286.0,11069667555.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải trả cho các bên liên quan (*),Dài hạn: > Phải trả cho các bên liên quan (*),Phải trả cho các bên liên quan (*),33.600.000.000,33.600.000.000,33600000000.0,33600000000.0
