row_label_raw,row_label_full,col_0,Miền NamTriệu đồng,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,16.930.517(12.955.523),2.653.547(1.661.167),2.804.845(1.536.767),22.388.909(16.153.457),(6.952.354)6.952.354,15.436.555(9.201.103),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,16.930.517(12.955.523),2.653.547(1.661.167),2.804.845(1.536.767),22.388.909(16.153.457),(6.952.354)6.952.354,15.436.555(9.201.103),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,3.974.994,992.380,1.268.078,6.235.452,-,6.235.452,3974994.0,992380.0,1268078.0,6235452.0,,6235452.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,1.407.896,131.006,94.961,1.633.863,-,1.633.863,1407896.0,131006.0,94961.0,1633863.0,,1633863.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,5.382.890,1.123.386,1.363.039,7.869.315,-,7.869.315,5382890.0,1123386.0,1363039.0,7869315.0,,7869315.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(3.915.309),(511.500),(505.889),(4.932.698),-,(4.932.698),-3915309.0,-511500.0,-505889.0,-4932698.0,,-4932698.0
Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,1.467.581,611.886,857.150,2.936.617,-,2.936.617,1467581.0,611886.0,857150.0,2936617.0,,2936617.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(2.237.470),(1.039),5,(2.238.504),-,(2.238.504),-2237470.0,-1039.0,5.0,-2238504.0,,-2238504.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,(769.889),610.847,857.155,698.113,-,698.113,-769889.0,610847.0,857155.0,698113.0,,698113.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,(161.672),-,-,(161.672),-,(161.672),-161672.0,,,-161672.0,,-161672.0
