row_label_raw,row_label_full,Số dư đầu nămChứng khoán đầu tư sẵn sàng để bán > Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3) > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Năm nayTriệu đồng > 20.647 > 232.346 > 7.500,Năm trướcTriệu đồng > 169.286 > -,numeric__Năm nayTriệu đồng > 20.647 > 232.346 > 7.500,numeric__Năm trướcTriệu đồng > 169.286 > -
,,,260.493,169.286,260493.0,169286.0
Tăng từ sáp nhập Ngân hàng TMCP Phương NamChứng khoán đầu tư sẵn sàng để bán,Tăng từ sáp nhập Ngân hàng TMCP Phương NamChứng khoán đầu tư sẵn sàng để bán,Tăng từ sáp nhập Ngân hàng TMCP Phương NamChứng khoán đầu tư sẵn sàng để bán,71.738,-,71738.0,
Trích/(hoàn nhập) trong nămChứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 28),Trích/(hoàn nhập) trong nămChứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 28),Trích/(hoàn nhập) trong nămChứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 28),100.970,(148.639),100970.0,-148639.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1.170.113,232.346,1170113.0,232346.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),-,7.500,,7500.0
Sử dụng dự phòng xử lý rủi ro trong nămTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Sử dụng dự phòng xử lý rủi ro trong nămTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Sử dụng dự phòng xử lý rủi ro trong nămTrái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),(23.914),-,-23914.0,
,,,1.318.907,91.207,1318907.0,91207.0
Số dư cuối nămChứng khoán đầu tư sẵn sàng để bán,Số dư cuối nămChứng khoán đầu tư sẵn sàng để bán,Số dư cuối nămChứng khoán đầu tư sẵn sàng để bán,193.355,20.647,193355.0,20647.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1.378.545,232.346,1378545.0,232346.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),7.500,7.500,7500.0,7500.0
,,,1.579.400,260.493,1579400.0,260493.0
