row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,92.370.826,"51,14",68.393.865,"54,90",92370826.0,51.14,68393865.0,54.9
Công ty TNHH,Công ty TNHH,Công ty TNHH,47.515.146,"26,31",33.648.166,"26,99",47515146.0,26.31,33648166.0,26.99
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,36.431.300,"20,17",27.320.530,"21,93",36431300.0,20.17,27320530.0,21.93
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,4.801.354,"2,66",3.880.602,"3,12",4801354.0,2.66,3880602.0,3.12
Công ty cổ phần Nhà nước,Công ty cổ phần Nhà nước,Công ty cổ phần Nhà nước,1.157.123,"0,64",1.379.677,"1,11",1157123.0,0.64,1379677.0,1.11
Công ty TNHH Nhà nước,Công ty TNHH Nhà nước,Công ty TNHH Nhà nước,857.081,"0,47",929.037,"0,75",857081.0,0.47,929037.0,0.75
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,553.315,"0,31",481.254,"0,39",553315.0,0.31,481254.0,0.39
Doanh nghiệp Nhà nước,Doanh nghiệp Nhà nước,Doanh nghiệp Nhà nước,314.738,"0,17",319.314,"0,26",314738.0,0.17,319314.0,0.26
Kinh tế tập thể,Kinh tế tập thể,Kinh tế tập thể,109.048,"0,06",163.046,"0,13",109048.0,0.06,163046.0,0.13
Khác,Khác,Khác,631.721,"0,35",272.239,"0,22",631721.0,0.35,272239.0,0.22
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,88.222.044,"48,86",56.181.992,"45,10",88222044.0,48.86,56181992.0,45.1
,,,180.592.870,"100,00",124.575.857,"100,00",180592870.0,100.0,124575857.0,100.0
