row_label_raw,row_label_full,col_0,Khách hàng cá nhânvà doanh nghiệpTriệu đồng,Đầu tưTriệu đồng,Hoạt độngliên ngân hàngTriệu đồng,Hoạt động chungkhông phân bổTriệu đồng,Tổng cộngTriệu đồng,numeric__Khách hàng cá nhânvà doanh nghiệpTriệu đồng,numeric__Đầu tưTriệu đồng,numeric__Hoạt độngliên ngân hàngTriệu đồng,numeric__Hoạt động chungkhông phân bổTriệu đồng,numeric__Tổng cộngTriệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,6.402.244,6.402.244,,,,6402244.0,6402244.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,6.794.170,-,6.794.170,,,6794170.0,,6794170.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,4.623.072,-,4.623.072,,,4623072.0,,4623072.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,95.334,-,-,95.334,,95334.0,,,95334.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,178.427.423,-,-,-,178.427.423,178427423.0,,,,178427423.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,39.677.509,-,-,39.677.509,,39677509.0,,,39677509.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,3.419.337,-,-,3.419.337,,3419337.0,,,3419337.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,-,-,7.316.111,7.316.111,,,,7316111.0,7316111.0
Tài sản có khác,TÀI SẢN > Tài sản có khác,Tài sản có khác,29.102.122,2.385.562,26.406,12.094.825,43.608.915,29102122.0,2385562.0,26406.0,12094825.0,43608915.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,207.529.545,45.577.742,11.443.648,25.813.180,290.364.115,207529545.0,45577742.0,11443648.0,25813180.0,290364115.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,3.673.048,-,3.673.048,,,3673048.0,,3673048.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,259.427.737,-,-,-,259.427.737,259427737.0,,,,259427737.0
Các công cụ tài chính phải sinh và các nợtài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các nợtài chính khác,Các công cụ tài chính phải sinh và các nợtài chính khác,-,-,22.853,-,22.853,,,22853.0,,22853.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,-,1.661.894,-,1.661.894,,,1661894.0,,1661894.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,600,-,-,-,600,600.0,,,,600.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,3.683.981,-,17.824,212.879,3.914.684,3683981.0,,17824.0,212879.0,3914684.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,263.112.318,-,5.375.619,212.879,268.700.816,263112318.0,,5375619.0,212879.0,268700816.0
