row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợkhác hạch toántheo giá trịphân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợkhác hạch toántheo giá trịphân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,6.402.244,6.402.244,6.402.244,,,,,6402244.0,6402244.0,6402244.0
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,6.794.170,6.794.170,6.794.170,,,,,6794170.0,6794170.0,6794170.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,983.529,-,3.639.543,4.623.072,(*),,,983529.0,,3639543.0,4623072.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,95.334,-,-,-,-,95.334,(*),95334.0,,,,,95334.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,178.427.423,-,-,178.427.423,(*),,,178427423.0,,,178427423.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,24.915.301,-,24.915.301,(*),,,,24915301.0,,24915301.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,14.762.208,-,-,-,14.762.208,(*),,14762208.0,,,,14762208.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,558.839,-,558.839,(*),,,,558839.0,,558839.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,31.537.372,31.537.372,(*),,,,,31537372.0,31537372.0,
,,,95.334,14.762.208,179.410.952,25.474.140,48.373.329,268.115.963,,95334.0,14762208.0,179410952.0,25474140.0,48373329.0,268115963.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,3.673.048,3.673.048,(*),,,,,3673048.0,3673048.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,259.427.737,259.427.737,(*),,,,,259427737.0,259427737.0,
Các công cụ tài chính phải sinhvà các nợ tài chính khác,Các công cụ tài chính phải sinhvà các nợ tài chính khác,Các công cụ tài chính phải sinhvà các nợ tài chính khác,-,-,-,-,22.853,22.853,(*),,,,,22853.0,22853.0,
"Vốn tài trợ, ủy thác đầu tư chovay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư chovay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư chovay chịu rủi ro",-,-,-,-,1.661.894,1.661.894,(*),,,,,1661894.0,1661894.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,600,600,(*),,,,,600.0,600.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.644.960,3.644.960,(*),,,,,3644960.0,3644960.0,
,,,-,-,-,-,268.431.092,268.431.092,,,,,,268431092.0,268431092.0,
