row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,,,
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,1.872.510,2.751.114,4.623.624,1872510.0,2751114.0,4623624.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,180.592.870,-,180.592.870,180592870.0,,180592870.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,41.381.750,-,41.381.750,41381750.0,,41381750.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2015 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",2.221.636,1.602.294,3.823.930,2221636.0,1602294.0,3823930.0
Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2015 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.794.393,1.878.655,3.673.048,1794393.0,1878655.0,3673048.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2015 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,259.220.068,207.669,259.427.737,259220068.0,207669.0,259427737.0
Các công cụ tài chính phải sinh và các nợ tàichính khác (Tổng giá trị giao dịch theohợp đồng),Công nợ tại ngày 31 tháng 12 năm 2015 > Các công cụ tài chính phải sinh và các nợ tàichính khác (Tổng giá trị giao dịch theohợp đồng),Các công cụ tài chính phải sinh và các nợ tàichính khác (Tổng giá trị giao dịch theohợp đồng),3.860.958,1.512.908,5.373.866,3860958.0,1512908.0,5373866.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2015 > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",332.763,1.329.131,1.661.894,332763.0,1329131.0,1661894.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2015 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,600,-,600,600.0,,600.0
Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015 > Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,17.965.852,6.677.469,24.643.321,17965852.0,6677469.0,24643321.0
