row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Các giao dịch,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các công ty con,Các công ty con,Các công ty con,Tiền gửi,1.492.588,825.527,,1492588.0,825527.0
Các công ty con,Các công ty con,Các công ty con,Cho vay,985.523,629.538,,985523.0,629538.0
Các công ty con,Các công ty con,Các công ty con,Nhận tiền gửi,(2.021.795),(1.210.715),,-2021795.0,-1210715.0
Các công ty con,Các công ty con,Các công ty con,Phải thu khác,260.058,221.072,,260058.0,221072.0
Các công ty con,Các công ty con,Các công ty con,Phải trả khác,(8.006),(2.850),,-8006.0,-2850.0
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Cho vay,399.422,50.830,,399422.0,50830.0
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Nhận tiền gửi,(113.321),(117.023),,-113321.0,-117023.0
Ngân hàng,Ngân hàng,Ngân hàng,Phải thu khác,238.086,-,,238086.0,
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Cho vay,3.751,45.962,,3751.0,45962.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Nhận tiền gửi,(79.290),(63.596),,-79290.0,-63596.0
Ngân hàng,Ngân hàng,Ngân hàng,,,,,,
Các bên liên quan đến cổ đông lớn,Ngân hàng > Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,Cho vay,-,131.701,,,131701.0
Các bên liên quan đến cổ đông lớn,Ngân hàng > Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,Nhận tiền gửi,(88.532),(98.685),,-88532.0,-98685.0
