row_label_raw,row_label_full,Số dư đầu năm > Phân loại lại trong năm > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam > Trích lập quỹ trong năm (Thuyết minh số 22.1),Năm nayTriệu đồng > 51.476 > - > 525 > 272.755,Năm trướcTriệu đồng > - > 62.041 > -,numeric__Năm nayTriệu đồng > 51.476 > - > 525 > 272.755,numeric__Năm trướcTriệu đồng > - > 62.041 > -
Tăng khác,Tăng khác,Tăng khác,73,-,73.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(251.064),(10.565),-251064.0,-10565.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,73.765,51.476,73765.0,51476.0
