row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị ghi sổ,31/12/2021 > Số có khả năng trả nợ,01/01/2021 > Giá trị ghi sổ,01/01/2021 > Số có khả năng trả nợ,numeric__31/12/2021 > Giá trị ghi sổ,numeric__31/12/2021 > Số có khả năng trả nợ,numeric__01/01/2021 > Giá trị ghi sổ,numeric__01/01/2021 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Công ty Cổ phần Bất Động Sản T&T Homes,Công ty Cổ phần Bất Động Sản T&T Homes,Công ty Cổ phần Bất Động Sản T&T Homes,373.991.373.817,373.991.373.817,-,-,373991373817.0,373991373817.0,,
Công ty Cổ phần Kinh Doanh Thiết bị Công Nghệ HT,Công ty Cổ phần Kinh Doanh Thiết bị Công Nghệ HT,Công ty Cổ phần Kinh Doanh Thiết bị Công Nghệ HT,52.701.110.854,52.701.110.854,-,-,52701110854.0,52701110854.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,237.074.693,237.074.693,146.094.362,146.094.362,237074693.0,237074693.0,146094362.0,146094362.0
Cộng,Cộng,Cộng,426.929.559.364,426.929.559.364,146.094.362,146.094.362,426929559364.0,426929559364.0,146094362.0,146094362.0
