row_label_raw,row_label_full,col_0,Phần mềm kế toán,Tổng,numeric__Phần mềm kế toán,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2021,NGUYÊN GIÁ > Tại ngày 01/01/2021,Tại ngày 01/01/2021,221.215.500,221.215.500,221215500.0,221215500.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,89.883.333,89.883.333,89883333.0,89883333.0
Tại ngày 31/12/2021,NGUYÊN GIÁ > Tại ngày 31/12/2021,Tại ngày 31/12/2021,311.098.833,311.098.833,311098833.0,311098833.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2021,Tại ngày 01/01/2021,221.215.500,221.215.500,221215500.0,221215500.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,81.828.330,81.828.330,81828330.0,81828330.0
Tại ngày 31/12/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2021,Tại ngày 31/12/2021,303.043.830,303.043.830,303043830.0,303043830.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,-,-,,
Tại ngày 31/12/2021,Tại ngày 01/01/2021 > Tại ngày 31/12/2021,Tại ngày 31/12/2021,8.055.003,8.055.003,8055003.0,8055003.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 01/01/2021 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,221.215.500,311.098.833,221215500.0,311098833.0
