row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị ghi sổ,31/12/2021 > Dự phòng,01/01/2021 > Giá trị ghi sổ,01/01/2021 > Dự phòng,numeric__31/12/2021 > Giá trị ghi sổ,numeric__31/12/2021 > Dự phòng,numeric__01/01/2021 > Giá trị ghi sổ,numeric__01/01/2021 > Dự phòng
,,,VND,VND,VND,VND,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,341.159.057.472,-,235.539.420.554,-,341159057472.0,,235539420554.0,
Tạm ứng,Tạm ứng,Tạm ứng,6.143.981.888,-,5.586.209.181,-,6143981888.0,,5586209181.0,
Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,73.172.000.000,-,2.100.000.000,-,73172000000.0,,2100000000.0,
- Công ty Cổ phần Bất động sản Khải Minh Land (1),- Công ty Cổ phần Bất động sản Khải Minh Land (1),- Công ty Cổ phần Bất động sản Khải Minh Land (1),70.000.000.000,-,-,-,70000000000.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,3.172.000.000,-,2.100.000.000,-,3172000000.0,,2100000000.0,
Phải thu lãi cho vay (2),Phải thu lãi cho vay (2),Phải thu lãi cho vay (2),14.800.000.000,-,27.100.000.000,-,14800000000.0,,27100000000.0,
Công ty TNHH Giao Hường Xanh (3),Công ty TNHH Giao Hường Xanh (3),Công ty TNHH Giao Hường Xanh (3),221.272.499.864,-,187.144.981.881,-,221272499864.0,,187144981881.0,
Trần Thị Lê Hải,Trần Thị Lê Hải,Trần Thị Lê Hải,-,-,10.000.000.000,-,,,10000000000.0,
Công ty TNHH Cộng Đồng Môi Giới,Công ty TNHH Cộng Đồng Môi Giới,Công ty TNHH Cộng Đồng Môi Giới,4.411.620.370,-,-,-,4411620370.0,,,
Công ty TNHH Đầu tư Phát triển Solution,Công ty TNHH Đầu tư Phát triển Solution,Công ty TNHH Đầu tư Phát triển Solution,9.400.000.000,-,-,-,9400000000.0,,,
Công ty Cổ phần bất động sản Khải Minh Land,Công ty Cổ phần bất động sản Khải Minh Land,Công ty Cổ phần bất động sản Khải Minh Land,8.814.661.825,-,3.132.730.075,-,8814661825.0,,3132730075.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,3.144.293.525,-,475.499.417,-,3144293525.0,,475499417.0,
Dải hạn,Dải hạn,Dải hạn,4.024.170.382.211,-,1.316.156.437.000,-,4024170382211.0,,1316156437000.0,
Ký quỹ thực hiện dự án (4),Ký quỹ thực hiện dự án (4),Ký quỹ thực hiện dự án (4),21.500.000.000,-,21.500.000.000,-,21500000000.0,,21500000000.0,
Ký quỹ môi giới bất động sản,Ký quỹ môi giới bất động sản,Ký quỹ môi giới bất động sản,185.421.925.211,-,2.000.000.000,-,185421925211.0,,2000000000.0,
- Công ty TNHH Phát triển Đô thị và Khu công nghiệp T&T (5),- Công ty TNHH Phát triển Đô thị và Khu công nghiệp T&T (5),- Công ty TNHH Phát triển Đô thị và Khu công nghiệp T&T (5),178.421.925.211,-,-,-,178421925211.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,7.000.000.000,-,2.000.000.000,-,7000000000.0,,2000000000.0,
Ký quỹ ký cược khác,Ký quỹ ký cược khác,Ký quỹ ký cược khác,20.000.000,,20.000.000,,20000000.0,,20000000.0,
Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,3.228.457.000,-,2.636.437.000,-,3228457000.0,,2636437000.0,
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (2),Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (2),Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (2),490.000.000.000,-,490.000.000.000,-,490000000000.0,,490000000000.0,
Công ty TNHH Giao Hường Xanh (6),Công ty TNHH Giao Hường Xanh (6),Công ty TNHH Giao Hường Xanh (6),800.000.000.000,-,800.000.000.000,-,800000000000.0,,800000000000.0,
Công ty Cổ phần Bất động sản Khải Minh Land (7),Công ty Cổ phần Bất động sản Khải Minh Land (7),Công ty Cổ phần Bất động sản Khải Minh Land (7),1.134.000.000.000,-,-,-,1134000000000.0,,,
Công ty TNHH Cộng Đồng Môi Giới (8),Công ty TNHH Cộng Đồng Môi Giới (8),Công ty TNHH Cộng Đồng Môi Giới (8),450.000.000.000,-,-,-,450000000000.0,,,
Công ty TNHH Đầu tư Phát triển Solution (9),Công ty TNHH Đầu tư Phát triển Solution (9),Công ty TNHH Đầu tư Phát triển Solution (9),940.000.000.000,-,-,-,940000000000.0,,,
Cộng,Cộng,Cộng,4.365.329.439.683,-,1.551.695.857.554,-,4365329439683.0,,1551695857554.0,
