row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm 2021,Năm 2020,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm 2021,numeric__Năm 2020
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,517.273.016.553,121.209.798.424,,1.0,517273016553.0,121209798424.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
,,,- Khấu hao TSCĐ và BĐSĐT,02,126.941.042,72.730.052,,2.0,126941042.0,72730052.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,(79.773.856.187),(45.594.890.457),,5.0,-79773856187.0,-45594890457.0
,,,- Chi phí lãi vay,06,58.860.076.008,23.292.895.481,,6.0,58860076008.0,23292895481.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,496.486.177.416,98.980.533.500,,8.0,496486177416.0,98980533500.0
,,,"- Tăng, giảm các khoản phải thu",09,(3.243.200.350.420),19.702.859.525,,9.0,-3243200350420.0,19702859525.0
,,,"- Tăng, giảm hàng tồn kho",10,(394.782.593.511),-,,10.0,-394782593511.0,
,,,"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,723.107.295.772,116.973.777.930,,11.0,723107295772.0,116973777930.0
,,,"- Tăng, giảm chi phí trả trước",12,1.188.364.744,(10.469.721.923),,12.0,1188364744.0,-10469721923.0
,,,- Tiền lãi vay đã trả,14,(48.772.807.859),(29.169.395.304),,14.0,-48772807859.0,-29169395304.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,(23.497.022.618),(4.208.568.067),,15.0,-23497022618.0,-4208568067.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(2.489.470.936.476),191.809.485.661,,20.0,-2489470936476.0,191809485661.0
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
1.,II. > 1.,1.,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(325.556.749),-,,21.0,-325556749.0,
2.,II. > 2.,2.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,-,(800.000.000.000),,23.0,,-800000000000.0
3.,II. > 3.,3.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,72.673.856.187,28.884.978,,27.0,72673856187.0,28884978.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,72.348.299.438,(799.971.115.022),,30.0,72348299438.0,-799971115022.0
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp",31,2.525.799.205.000,400.000.000.000,,31.0,2525799205000.0,400000000000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,493.240.000.000,350.760.000.000,,33.0,493240000000.0,350760000000.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(200.000.000.000),-,,34.0,-200000000000.0,
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,2.819.039.205.000,750.760.000.000,,40.0,2819039205000.0,750760000000.0
,,,Lưu chuyển tiền thuần trong năm,50,401.916.567.962,142.598.370.639,,50.0,401916567962.0,142598370639.0
,,,Tiền và tương đương tiền đầu năm,60,161.889.486.612,19.291.115.973,,60.0,161889486612.0,19291115973.0
,,,Tiền và tương đương tiền cuối năm,70,563.806.054.574,161.889.486.612,,70.0,563806054574.0,161889486612.0
