row_label_raw,row_label_full,col_0,col_1,Tuyênminh,Tân ngay 31 tháng 12 nám,Tân ngay 31 tháng 12 nám_1,numeric__col_1,numeric__Tuyênminh,numeric__Tân ngay 31 tháng 12 nám,numeric__Tân ngay 31 tháng 12 nám_1
,,,,Tuyênminh,2023Triếu dòng,2022Triếu dòng,,,,
B,B,B,NỘ PHÁI TRÀ VÀ VON CHU SÔ HÜU,,,,,,,
I,B > I,I,Các khoản nç Chinh phù và NHNN,12,19.870,24.261,,12.0,19870.0,24261.0
1,B > 1,1,"Tiên gửi và vay Chinh phù, NHNN",,19.870,24.261,,,19870.0,24261.0
II,B > II,II,Tiên gửi và vay các TCTD khác,,16.363.869,11.893.026,,,16363869.0,11893026.0
1,B > 1,1,Tiên gửi của các TCTD khác,13.1,16.363.869,9.421.326,,131.0,16363869.0,9421326.0
2,B > 2,2,Vay các TCTD khác,13.2,-,2.471.700,,132.0,,2471700.0
III,B > III,III,Tiên gửi của khách hàng,14,156.654.052,148.814.016,,14.0,156654052.0,148814016.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nçtài chính khác,6,230.822,-,,6.0,230822.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,15,2.000.000,-,,15.0,2000000.0,
VII,B > VII,VII,Các khoản nç khác,,4.012.748,4.132.714,,,4012748.0,4132714.0
1,B > 1,1,"Các khoản lái, phí phải trả",16.1,2.553.314,2.490.182,,161.0,2553314.0,2490182.0
3,B > 3,3,Các khoản phải trả và công nç khác,16.2,1.459.434,1.642.532,,162.0,1459434.0,1642532.0
,,,TÔNG NỘ PHÁI TRÀ,,179.281.361,164.864.017,,,179281361.0,164864017.0
VIII,B > VIII,VIII,Vôn chủ sở hữu,18,22.391.341,20.445.049,,18.0,22391341.0,20445049.0
1,B > 1,1,Vôn của TCTD,,17.563.006,12.448.674,,,17563006.0,12448674.0
a,B > a,a,Vôn điều lệ,,17.469.561,12.355.229,,,17469561.0,12355229.0
b,B > b,b,Vôn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thăng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Quỹ của TCTD,,2.878.790,2.556.846,,,2878790.0,2556846.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.949.545,5.439.529,,,1949545.0,5439529.0
,,,TÔNG VON CHU SÔ HÜU,,22.391.341,20.445.049,,,22391341.0,20445049.0
,,,TÔNG NỘ PHÁI TRÀ VÀ VON CHU SÔ HÜU,,201.672.702,185.309.066,,,201672702.0,185309066.0
