row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quá hạn > Ngày 31 tháng 12 năm 2023,Không chịu lãi suất > Ngày 31 tháng 12 năm 2023,Dưới 1 tháng > Ngày 31 tháng 12 năm 2023,Từ 1 - 3 tháng > Ngày 31 tháng 12 năm 2023,Từ 3 - 6 tháng > Ngày 31 tháng 12 năm 2023,Từ 6 - 12 tháng > Ngày 31 tháng 12 năm 2023,Từ 1 - 5 năm > Ngày 31 tháng 12 năm 2023,Đơn vị: Triệu đồng Trên 5 năm > Ngày 31 tháng 12 năm 2023,Tổng cộng > Ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Ngày 31 tháng 12 năm 2023,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2023,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ 1 - 3 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ 3 - 6 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ 6 - 12 tháng > Ngày 31 tháng 12 năm 2023,numeric__Từ 1 - 5 năm > Ngày 31 tháng 12 năm 2023,numeric__Đơn vị: Triệu đồng Trên 5 năm > Ngày 31 tháng 12 năm 2023,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2023
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.257.426,-,-,-,-,-,-,2.257.426,,2257426.0,,,,,,,2257426.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.058.527,-,-,-,-,-,4.058.527,,,4058527.0,,,,,,4058527.0
Tiền gửi tại các TCTD khác,Tài sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,43.026.893,-,-,-,-,-,43.026.893,,,43026893.0,,,,,,43026893.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.565.915,-,32.112.768,63.907.740,30.211.929,8.122.918,447.796,79.858,140.448.924,5565915.0,,32112768.0,63907740.0,30211929.0,8122918.0,447796.0,79858.0,140448924.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),75.000,212.868,-,451.729,1.000.000,2.500.000,800.000,2.112.041,7.151.638,75000.0,212868.0,,451729.0,1000000.0,2500000.0,800000.0,2112041.0,7151638.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,300.000,-,-,-,-,-,-,300.000,,300000.0,,,,,,,300000.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,3.656.740,-,-,-,-,-,-,3.656.740,,3656740.0,,,,,,,3656740.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),465.805,2.476.676,-,-,-,-,-,-,2.942.481,465805.0,2476676.0,,,,,,,2942481.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.106.720,8.903.710,79.198.188,64.359.469,31.211.929,10.622.918,1.247.796,2.191.899,203.842.629,6106720.0,8903710.0,79198188.0,64359469.0,31211929.0,10622918.0,1247796.0,2191899.0,203842629.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,2.054,17.816,-,-,-,19.870,,,,2054.0,17816.0,,,,19870.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.363.869,-,-,-,-,-,16.363.869,,,16363869.0,,,,,,16363869.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,59.432.345,32.289.918,41.532.245,21.259.217,2.140.327,-,156.654.052,,,59432345.0,32289918.0,41532245.0,21259217.0,2140327.0,,156654052.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,215.685,-,5.017,10.120,-,-,-,230.822,,215685.0,,5017.0,10120.0,,,,230822.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,500.000,1.500.000,-,-,2.000.000,,,,,500000.0,1500000.0,,,2000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.012.748,-,-,-,-,-,-,4.012.748,,4012748.0,,,,,,,4012748.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.228.433,75.796.214,32.296.989,42.060.181,22.759.217,2.140.327,-,179.281.361,,4228433.0,75796214.0,32296989.0,42060181.0,22759217.0,2140327.0,,179281361.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,6.106.720,4.675.277,3.401.974,32.062.480,(10.848.252),(12.136.299),(892.531),2.191.899,24.561.268,6106720.0,4675277.0,3401974.0,32062480.0,-10848252.0,-12136299.0,-892531.0,2191899.0,24561268.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,-,-,-,-,-,-,-,,,,,,,,,
Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất ngoại bảng > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,6.106.720,4.675.277,3.401.974,32.062.480,(10.848.252),(12.136.299),(892.531),2.191.899,24.561.268,6106720.0,4675277.0,3401974.0,32062480.0,-10848252.0,-12136299.0,-892531.0,2191899.0,24561268.0
