row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tải sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,2.257.426,-,-,-,-,2.257.426,,,2257426.0,,,,,2257426.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.058.527,-,-,-,-,4.058.527,,,4058527.0,,,,,4058527.0
Tiền gửi tại các TCTD khác,Tải sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,43.026.893,-,-,-,-,43.026.893,,,43026893.0,,,,,43026893.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.726.860,1.839.055,10.345.440,34.538.115,55.977.500,13.176.210,20.845.744,140.448.924,3726860.0,1839055.0,10345440.0,34538115.0,55977500.0,13176210.0,20845744.0,140448924.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),75.000,-,212.868,451.729,2.200.000,800.000,3.412.041,7.151.638,75000.0,,212868.0,451729.0,2200000.0,800000.0,3412041.0,7151638.0
"Góp vốn, đầu tư dài hạn","Tải sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,300.000,300.000,,,,,,,300000.0,300000.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,-,30,317,9.873,624.580,3.021.940,3.656.740,,,30.0,317.0,9873.0,624580.0,3021940.0,3656740.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),465.805,-,827.446,171.177,301.060,1.150.808,26.185,2.942.481,465805.0,,827446.0,171177.0,301060.0,1150808.0,26185.0,2942481.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,4.267.665,1.839.055,60.728.630,35.161.338,58.488.433,15.751.598,27.605.910,203.842.629,4267665.0,1839055.0,60728630.0,35161338.0,58488433.0,15751598.0,27605910.0,203842629.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,2.054,17.816,-,-,19.870,,,,2054.0,17816.0,,,19870.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.363.869,-,-,-,-,16.363.869,,,16363869.0,,,,,16363869.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,59.432.345,32.289.918,62.791.462,2.140.327,-,156.654.052,,,59432345.0,32289918.0,62791462.0,2140327.0,,156654052.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,287.396,(65.350),8.776,-,-,230.822,,,287396.0,-65350.0,8776.0,,,230822.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,2.000.000,-,-,2.000.000,,,,,2000000.0,,,2000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.528.457,1.213.514,1.042.877,227.900,-,4.012.748,,,1528457.0,1213514.0,1042877.0,227900.0,,4012748.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,77.612.067,33.440.136,65.860.931,2.368.227,-,179.281.361,,,77612067.0,33440136.0,65860931.0,2368227.0,,179281361.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.267.665,1.839.055,(16.883.437),1.721.202,(7.372.498),13.383.371,27.605.910,24.561.268,4267665.0,1839055.0,-16883437.0,1721202.0,-7372498.0,13383371.0,27605910.0,24561268.0
