row_label_raw,row_label_full,col_0,31.12.2023Triệu đồng,31.12.2022Triệu đồng,numeric__31.12.2023Triệu đồng,numeric__31.12.2022Triệu đồng
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,103.163.887,28.234.905,103163887.0,28234905.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,7.010.818,252.910,7010818.0,252910.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,8.004.778,315.673,8004778.0,315673.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,88.148.291,27.666.322,88148291.0,27666322.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,1.226.057,1.975.802,1226057.0,1975802.0
- Thư tín dụng trả ngay,- Thư tín dụng trả ngay,- Thư tín dụng trả ngay,545.796,395.981,545796.0,395981.0
- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,609.467,1.157.719,609467.0,1157719.0
- Thư tín dụng trả chậm có điều khoản trả ngay (UPAS LC),- Thư tín dụng trả chậm có điều khoản trả ngay (UPAS LC),- Thư tín dụng trả chậm có điều khoản trả ngay (UPAS LC),167.040,527.423,167040.0,527423.0
- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,(96.246),(105.321),-96246.0,-105321.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,2.819.202,3.884.758,2819202.0,3884758.0
- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,1.151.256,1.636.143,1151256.0,1636143.0
- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,417.236,517.351,417236.0,517351.0
- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,135.337,136.657,135337.0,136657.0
- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,1.325.662,1.804.758,1325662.0,1804758.0
- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,(210.289),(210.151),-210289.0,-210151.0
Cam kết khác,Cam kết khác,Cam kết khác,1.655.576,171.563,1655576.0,171563.0
- Hợp đồng hoán đổi tiền tệ chéo,- Hợp đồng hoán đổi tiền tệ chéo,- Hợp đồng hoán đổi tiền tệ chéo,1.477.002,-,1477002.0,
- Khác,- Khác,- Khác,178.574,171.563,178574.0,171563.0
,,,108.864.722,34.267.028,108864722.0,34267028.0
