row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023Triệu đồng,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng
2,2,2,Cam kết giao dịch hối đoái,33.1,103.163.887,28.234.905,,331.0,103163887.0,28234905.0
2,2,2,- Cam kết mua ngoại tệ,,7.010.818,252.910,,,7010818.0,252910.0
2,2,2,- Cam kết bán ngoại tệ,,8.004.778,315.673,,,8004778.0,315673.0
2,2,2,- Cam kết giao dịch hoán đổi,,88.148.291,27.666.322,,,88148291.0,27666322.0
4,4,4,Cam kết trong nghiệp vụ L/C,33.1,1.226.057,1.975.802,,331.0,1226057.0,1975802.0
5,5,5,Bảo lãnh khác,33.1,2.819.202,3.884.758,,331.0,2819202.0,3884758.0
6,6,6,Các cam kết khác,33.1,1.655.576,171.563,,331.0,1655576.0,171563.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,33.2,3.529.436,3.442.317,,332.0,3529436.0,3442317.0
8,8,8,Nợ khó đòi đã xử lý,33.3,12.647.688,12.804.171,,333.0,12647688.0,12804171.0
9,9,9,Tài sản và chứng từ khác,33.4,358.413,344.993,,334.0,358413.0,344993.0
