row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tàiTriệu đồng,Thiết bịquản lýTriệu đồng,Khác (*)Triệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tàiTriệu đồng,numeric__Thiết bịquản lýTriệu đồng,numeric__Khác (*)Triệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,456.877,878.687,184.059,44.828,477.148,2.041.599,456877.0,878687.0,184059.0,44828.0,477148.0,2041599.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.897,150.032,276.287,2.791,120.146,556.153,6897.0,150032.0,276287.0,2791.0,120146.0,556153.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.327),(3.874),(781),(2.141),(81.497),(91.620),-3327.0,-3874.0,-781.0,-2141.0,-81497.0,-91620.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(36),(6.169),-,(3.886),10.091,-,-36.0,-6169.0,,-3886.0,10091.0,
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,460.411,1.018.676,459.565,41.592,525.888,2.506.132,460411.0,1018676.0,459565.0,41592.0,525888.0,2506132.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(97.081),(652.386),(163.516),(41.284),(384.353),(1.338.620),-97081.0,-652386.0,-163516.0,-41284.0,-384353.0,-1338620.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(12.581),(65.221),(30.944),(1.904),(38.395),(149.045),-12581.0,-65221.0,-30944.0,-1904.0,-38395.0,-149045.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",2.339,3.874,781,2.137,80.686,89.817,2339.0,3874.0,781.0,2137.0,80686.0,89817.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,36,6.169,-,3.886,(10.091),-,36.0,6169.0,,3886.0,-10091.0,
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(107.287),(707.564),(193.679),(37.165),(352.153),(1.397.848),-107287.0,-707564.0,-193679.0,-37165.0,-352153.0,-1397848.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,359.796,226.301,20.543,3.544,92.795,702.979,359796.0,226301.0,20543.0,3544.0,92795.0,702979.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,353.124,311.112,265.886,4.427,173.735,1.108.284,353124.0,311112.0,265886.0,4427.0,173735.0,1108284.0
