row_label_raw,row_label_full,col_0,31.12.2023Triệu đồng,31.12.2022Triệu đồng,numeric__31.12.2023Triệu đồng,numeric__31.12.2022Triệu đồng
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,
Tiền gửi của TCTD khác,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tiền gửi của TCTD khác,Tiền gửi của TCTD khác,-,211.704,,211704.0
Vay các TCTD khác,Cổ đông lớn và các bên liên quan với cổ đông lớn > Vay các TCTD khác,Vay các TCTD khác,-,588.500,,588500.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Tiền gửi của khách hàng,Công ty con > Tiền gửi của khách hàng,Tiền gửi của khách hàng,324.884,199.445,324884.0,199445.0
Các khoản nợ khác,Công ty con > Các khoản nợ khác,Các khoản nợ khác,858,98.561,858.0,98561.0
- Lãi phải trả tiền gửi,Công ty con > - Lãi phải trả tiền gửi,- Lãi phải trả tiền gửi,858,514,858.0,514.0
- Phải trả công ty con (Thuyết minh 16.2),Công ty con > - Phải trả công ty con (Thuyết minh 16.2),- Phải trả công ty con (Thuyết minh 16.2),-,98.047,,98047.0
"Góp vốn, đầu tư dài hạn","Công ty con > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",300.000,300.000,300000.0,300000.0
"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này",,
Tiền gửi của khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Tiền gửi của khách hàng",Tiền gửi của khách hàng,65.590,21.777,65590.0,21777.0
Tài sản Có khác,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Tài sản Có khác",Tài sản Có khác,1,22,1.0,22.0
- Dự thu lãi cho vay,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > - Dự thu lãi cho vay",- Dự thu lãi cho vay,1,22,1.0,22.0
Các khoản Nợ khác,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Các khoản Nợ khác",Các khoản Nợ khác,1.649,226,1649.0,226.0
- Lãi phải trả tiền gửi tiết kiệm,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > - Lãi phải trả tiền gửi tiết kiệm",- Lãi phải trả tiền gửi tiết kiệm,1.649,226,1649.0,226.0
Cho vay khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiềm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Cho vay khách hàng",Cho vay khách hàng,1.519,4.959,1519.0,4959.0
