row_label_raw,row_label_full,Họ và tên,Chức vụ,2023Triệu đồng,2022Triệu đồng,numeric__Chức vụ,numeric__2023Triệu đồng,numeric__2022Triệu đồng
Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Chủ tịch(từ ngày 28 tháng 6 năm 2023)Thành viên(đến ngày 28 tháng 6 năm 2023),5.580,4.636,,5580.0,4636.0
Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Phó Chủ tịch(từ ngày 25 tháng 1 năm 2024)Thành viên(từ ngày 18 tháng 9 năm 2023đến ngày 25 tháng 1 năm 2024),995,-,,995.0,
Ông Nguyễn Cảnh Anh,Ông Nguyễn Cảnh Anh,Ông Nguyễn Cảnh Anh,Thành viên(từ ngày 18 tháng 9 năm 2023),1.113,-,,1113.0,
Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Thành viên(từ ngày 28 tháng 6 năm 2023)Chủ tịch(đến ngày 28 tháng 6 năm 2023),5.830,12.934,,5830.0,12934.0
Ông Trần Anh Thắng,Ông Trần Anh Thắng,Ông Trần Anh Thắng,Thành viên độc lập(từ ngày 14 tháng 2 năm 2023),4.351,-,,4351.0,
Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Thành viên(từ ngày 14 tháng 2 năm 2023),4.351,-,,4351.0,
Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Thành viên(từ ngày 14 tháng 2 năm 2023),4.351,-,,4351.0,
Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Thành viên(đến ngày 14 tháng 4 năm 2023),1.415,4.636,,1415.0,4636.0
Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Thành viên(đến ngày 14 tháng 4 năm 2023),1.415,4.636,,1415.0,4636.0
Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Thành viên(đến ngày 14 tháng 2 năm 2023),533,3.397,,533.0,3397.0
Bà Lê Hồng Anh,Bà Lê Hồng Anh,Bà Lê Hồng Anh,Thành viên(đến ngày 14 tháng 2 năm 2023),533,3.397,,533.0,3397.0
Ông Võ Quang Hiển,Ông Võ Quang Hiển,Ông Võ Quang Hiển,Thành viên(từ ngày 15 tháng 2 năm 2022đến ngày 13 tháng 9 năm 2022),-,2.040,,,2040.0
Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Chủ tịch(đến ngày 15 tháng 2 năm 2022),-,5.287,,,5287.0
Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Phó chủ tịch(đến ngày 15 tháng 2 năm 2022),-,3.858,,,3858.0
Ông Lê Minh Quốc,Ông Lê Minh Quốc,Ông Lê Minh Quốc,Thành viên độc lập(đến ngày 15 tháng 2 năm 2022),-,5.237,,,5237.0
Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Thành viên(đến ngày 15 tháng 2 năm 2022),-,2.643,,,2643.0
Ông Ngô Thanh Tùng,Ông Ngô Thanh Tùng,Ông Ngô Thanh Tùng,Thành viên(đến ngày 15 tháng 2 năm 2022),-,4.697,,,4697.0
Ông Lê Văn Quyết,Ông Lê Văn Quyết,Ông Lê Văn Quyết,Thành viên(đến ngày 15 tháng 2 năm 2022),-,1.005,,,1005.0
Ông Đăng Anh Mai,Ông Đăng Anh Mai,Ông Đăng Anh Mai,Thành viên(đến ngày 15 tháng 2 năm 2022),-,7.613,,,7613.0
Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Thành viên(đến ngày 15 tháng 2 năm 2022),-,7.613,,,7613.0
,,,,30.467,73.629,,30467.0,73629.0
