row_label_raw,row_label_full,col_0,Chức danh,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Chức danh,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch,-,-,,,
Bà Phạm Thúy Hằng,Ông Phạm Nhật Vương > Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Phó Chủ tịch,2.034,-,,2034.0,
Bà Phạm Thu Hương,Ông Phạm Nhật Vương > Bà Phạm Thu Hương,Bà Phạm Thu Hương,Phó Chủ tịch,2.034,-,,2034.0,
Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Phó Chủ tịch,-,-,,,
Ông Nguyễn Việt Quang,Bà Nguyễn Diệu Linh > Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Phó Chủ tịch,2.086,-,,2086.0,
Ông Yoo Ji Han,Ông Yoo Ji Han,Ông Yoo Ji Han,Thành viên độc lập từ ngày 11 tháng 5 năm 2022,-,-,,,
Ông Adil Ahmad,Ông Yoo Ji Han > Ông Adil Ahmad,Ông Adil Ahmad,Thành viên độc lập,1.056,533,,1056.0,533.0
Ông Chin Michael Jaewuk,Ông Yoo Ji Han > Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Thành viên độc lập,1.056,533,,1056.0,533.0
Ông Ronaldo Dy-Liacco Ibasco,Ông Yoo Ji Han > Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Thành viên độc lập,1.056,533,,1056.0,533.0
Ông Park Woncheol,Ông Park Woncheol,Ông Park Woncheol,Thành viên độc lập đến ngày 11 tháng 5 năm 2022,-,-,,,
Ông Lê Khắc Hiệp,Ông Lê Khắc Hiệp,Ông Lê Khắc Hiệp,Phó Chủ tịch kiểm thành viên độc lập đến ngày 24 tháng 6 năm 2021,-,-,,,
Ông Marc Villiers Townsend,Ông Lê Khắc Hiệp > Ông Marc Villiers Townsend,Ông Marc Villiers Townsend,Thành viên độc lập đến ngày 24 tháng 6 năm 2021,-,203,,,203.0
Ông Ling Chung Yee Roy,Ông Lê Khắc Hiệp > Ông Ling Chung Yee Roy,Ông Ling Chung Yee Roy,Thành viên độc lập đến ngày 24 tháng 6 năm 2021,-,204,,,204.0
TỔNG CỘNG,Ông Lê Khắc Hiệp > TỔNG CỘNG,TỔNG CỘNG,,9.322,2.006,,9322.0,2006.0
