row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Đơn vị tính: triệu VND > Số đã thu/cán trừ trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Đơn vị tính: triệu VND > Số đã thu/cán trừ trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải thu,Phải thu,Phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,479.020,-,(312.413),166.607,479020.0,,-312413.0,166607.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,479.020,-,(312.413),166.607,479020.0,,-312413.0,166607.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,,,,,,,,
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",213.008,28.208,(241.216),-,213008.0,28208.0,-241216.0,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,223.655,(97.281),126.374,,223655.0,-97281.0,126374.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,24.451,359.927,(360.406),23.972,24451.0,359927.0,-360406.0,23972.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.515,122.434,(92.306),41.643,11515.0,122434.0,-92306.0,41643.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,32.219,120.685,(99.329),53.575,32219.0,120685.0,-99329.0,53575.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,281.193,854.909,(890.538),245.564,281193.0,854909.0,-890538.0,245564.0
