row_label_raw,row_label_full,col_0,Quyền sử dụngđất và nhà cửavật kiến trúc,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Quyền sử dụngđất và nhà cửavật kiến trúc,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Quyền sử dụngđất và nhà cửavật kiến trúc,"Máy móc,thiết bị",Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.054.968,1.901.409,5.956.377,4054968.0,1901409.0,5956377.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 15),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 15),Xây dựng cơ bản hoàn thành(Thuyết minh số 15),62.001,16.098,78.099,62001.0,16098.0,78099.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,54.487,-,54.487,54487.0,,54487.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.434.886),(651.122),(2.086.008),-1434886.0,-651122.0,-2086008.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(64.067),(28.759),(92.826),-64067.0,-28759.0,-92826.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.672.503,1.237.626,3.910.129,2672503.0,1237626.0,3910129.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,396.372,647.378,1.043.750,396372.0,647378.0,1043750.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,79.771,152.311,232.082,79771.0,152311.0,232082.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(108.245),(288.700),(396.945),-108245.0,-288700.0,-396945.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,367.898,510.989,878.887,367898.0,510989.0,878887.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.658.596,1.254.031,4.912.627,3658596.0,1254031.0,4912627.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.304.605,726.637,3.031.242,2304605.0,726637.0,3031242.0
