row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Lãi vay phải thu,-,188,,,,188.0
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Phải thu do chi hộ,91.179,-,,,91179.0,
Công ty VinES,Công ty VinES,Công ty VinES,Công ty con,Lãi vay phải thu,459.393,-,,,459393.0,
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Lãi vay phải thu,134.065,125.246,,,134065.0,125246.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Phải thu khác,577,12.526,,,577.0,12526.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",84.108,-,,,84108.0,
Công ty SADO,Công ty SADO,Công ty SADO,Công ty con,Lãi vay phải thu,224.768,491.829,,,224768.0,491829.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Lãi vay phải thu,9.538,239.242,,,9538.0,239242.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Phải thu do chi hộ,65.044,-,,,65044.0,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Phải thu khác,4.208,22.866,,,4208.0,22866.0
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Công ty con đến,Phải thu do chi hộ,-,229.552,,,,229552.0
Công nghệ Sinh học Vinbiocare,Công nghệ Sinh học Vinbiocare,Công nghệ Sinh học Vinbiocare,ngày 25 tháng,Lãi vay phải thu,-,24.408,,,,24408.0
Công nghệ Sinh học Vinbiocare,Công nghệ Sinh học Vinbiocare,Công nghệ Sinh học Vinbiocare,10 năm 2022,,,,,,,
Công ty Vinmec,Công nghệ Sinh học Vinbiocare > Công ty Vinmec,Công ty Vinmec,Công ty con,Phải thu do chi hộ,4.494,227.719,,,4494.0,227719.0
Công ty Vinmec,Công nghệ Sinh học Vinbiocare > Công ty Vinmec,Công ty Vinmec,Công ty con,Lãi vay phải thu,318.601,11.894,,,318601.0,11894.0
Công ty Vinmec,Công nghệ Sinh học Vinbiocare > Công ty Vinmec,Công ty Vinmec,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",53.489,-,,,53489.0,
Công ty Vintech,Công nghệ Sinh học Vinbiocare > Công ty Vintech,Công ty Vintech,Công ty con,Lãi vay phải thu,206.531,-,,,206531.0,
Công ty Vinhomes,Công nghệ Sinh học Vinbiocare > Công ty Vinhomes,Công ty Vinhomes,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",161.432,-,,,161432.0,
Các công ty khác,Công nghệ Sinh học Vinbiocare > Các công ty khác,Các công ty khác,Công ty con,Phải thu khác,167.006,290.749,,,167006.0,290749.0
,,,,,1.984.433,1.676.219,,,1984433.0,1676219.0
