row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Trả trước theo hợp đồng xây dựng – chuyển giao (i),Trả trước theo hợp đồng xây dựng – chuyển giao (i),Trả trước theo hợp đồng xây dựng – chuyển giao (i),7.600.198,8.030.417,7600198.0,8030417.0
Trả trước theo hợp đồng chuyển nhượng bất động sản,Trả trước theo hợp đồng chuyển nhượng bất động sản,Trả trước theo hợp đồng chuyển nhượng bất động sản,1.827.180,2.693.955,1827180.0,2693955.0
Trả trước từ bên liên quan (Thuyết minh số 31.2),Trả trước từ bên liên quan (Thuyết minh số 31.2),Trả trước từ bên liên quan (Thuyết minh số 31.2),540.566,-,540566.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.967.944,10.724.372,9967944.0,10724372.0
