row_label_raw,row_label_full,Số đầu năm > Tăng trong năm > Chuyển sang tài sản cố định hữu hình(Thuyết minh số 13) > Chuyển sang bắt động sản đầu tư(Thuyết minh số 14),Đơn vị tính: triệu VND > Năm nay > 3.277.631 > 1.664.152 > (115.063) > (78.099),Đơn vị tính: triệu VND > Năm trước > 3.349.656 > 1.013.925 > (4.610) > (459),numeric__Đơn vị tính: triệu VND > Năm nay > 3.277.631 > 1.664.152 > (115.063) > (78.099),numeric__Đơn vị tính: triệu VND > Năm trước > 3.349.656 > 1.013.925 > (4.610) > (459)
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(28.030),(520.911),-28030.0,-520911.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,(245.986),(559.970),-245986.0,-559970.0
Số cuối năm,Số cuối năm,Số cuối năm,4.474.605,3.277.631,4474605.0,3277631.0
