row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Chi phí hoa hồng môi giới,Chi phí bán hàng > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,71.817,159.692,71817.0,159692.0
Chi phí quảng cáo,Chi phí bán hàng > Chi phí quảng cáo,Chi phí quảng cáo,-,45.636,,45636.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,58,7.674,58.0,7674.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,71.875,213.002,71875.0,213002.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Trích lập/(hoản nhập) các khoản dự phòng phải thu và dự phòng phải trả (i),Chi phí quản lý doanh nghiệp > Trích lập/(hoản nhập) các khoản dự phòng phải thu và dự phòng phải trả (i),Trích lập/(hoản nhập) các khoản dự phòng phải thu và dự phòng phải trả (i),1.275.030,(2.637.343),1275030.0,-2637343.0
Chi phí từ thiện,Chi phí quản lý doanh nghiệp > Chi phí từ thiện,Chi phí từ thiện,242.202,4.318.789,242202.0,4318789.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,541.017,355.761,541017.0,355761.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,2.058.249,2.037.207,2058249.0,2037207.0
